ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
242,4,0,0,0,1,False,63,0,1
288,4,0,0,0,1,False,63,0,0
448,6,0,49,3,2,False,63,0,1
505,6,0,50,3,2,False,63,0,0
646,8,0,54,107,3,False,64,0,1
695,14,0,59,107,4,False,66,0,3
720,14,0,59,159,5,False,65,0,2
739,14,0,61,159,5,False,65,0,0
772,16,0,77,204,6,False,64,0,0
779,16,2,77,208,7,False,63,0,0
794,23,3,83,209,8,False,63,0,2
810,28,7,83,216,9,False,62,0,2
828,32,11,83,223,10,False,62,0,3
830,36,11,83,223,11,False,62,0,3
840,37,11,83,275,12,False,62,0,3
851,38,11,85,327,13,False,61,0,2
874,48,26,87,334,14,False,61,1,3
885,48,27,87,386,15,False,61,1,2
901,48,35,87,442,16,False,62,1,4
927,51,37,87,494,17,False,61,2,3
1005,51,37,102,749,17,False,61,2,2
1067,58,47,102,808,18,False,65,2,5
1073,61,51,102,808,19,False,65,2,4
1086,63,52,102,808,20,False,65,2,3
1102,65,52,102,808,21,False,64,2,2
1112,65,52,102,860,22,False,63,2,2
1126,65,59,102,914,23,False,64,2,2
1140,68,60,102,966,24,False,65,2,3
1164,72,63,102,1072,25,False,65,2,4
1167,72,65,102,1072,26,False,64,2,4
1169,74,65,102,1072,27,False,63,2,3
1190,81,75,102,1119,28,False,66,2,7
1194,87,79,102,1119,29,False,65,2,4
1199,87,85,102,1119,30,False,66,2,4
1212,92,95,102,1171,31,False,65,2,4
1222,92,95,102,1223,32,False,64,2,4
1236,92,99,102,1277,33,False,64,2,4
1249,92,111,102,1277,34,False,64,2,4
1257,92,112,102,1306,34,False,65,2,4
1267,92,112,102,1329,35,False,64,2,4
1282,92,119,102,1383,36,False,65,2,4
1310,94,122,103,1487,37,False,66,2,5
1335,102,126,105,1546,38,False,69,2,7
1505,118,134,256,1564,38,False,70,2,9
1505,118,134,256,1564,39,False,70,2,9
1515,120,140,256,1564,40,False,70,2,8
1520,122,140,256,1564,41,False,69,2,8
1532,124,140,256,1564,42,False,68,2,8
1537,125,140,256,1564,43,False,67,2,8
1543,129,140,256,1564,44,False,67,2,9
1556,137,144,256,1571,45,False,69,2,11
1562,139,144,256,1571,46,False,68,2,10
1576,139,144,256,1623,47,False,67,2,9
1599,142,146,256,1677,48,False,68,2,10
1613,142,146,256,1729,49,False,67,2,9
1696,142,146,285,1830,50,False,67,2,8
1740,142,146,286,1931,50,False,69,2,9
1741,144,146,287,1934,51,False,67,2,8
1766,145,146,287,2038,52,False,66,2,9
