ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
281,5,0,0,0,0,False,65,0,3
484,19,1,73,6,1,False,67,0,5
504,19,1,73,6,1,False,67,0,5
761,21,60,80,64,1,False,77,0,15
1679,23,796,90,377,2,False,197,0,136
1747,24,796,99,392,2,False,198,0,133
2028,24,798,147,646,2,False,200,0,135
2221,25,802,153,1004,3,False,199,0,138
2256,25,802,153,1004,3,False,199,0,132
2271,25,803,153,1004,4,False,198,0,132
2307,25,804,153,1004,5,False,197,0,132
2344,25,805,153,1004,6,False,196,0,132
2380,25,806,153,1004,7,False,195,0,132
2421,25,807,153,1004,8,False,194,0,132
2459,25,808,153,1004,9,False,193,0,132
2525,32,808,158,1056,10,False,196,0,136
2604,33,809,164,1169,11,False,195,0,135
2642,34,809,164,1169,12,False,194,0,134
2677,34,810,164,1169,13,False,193,0,133
2710,35,810,164,1169,14,False,192,0,132
4466,40,1679,170,1461,15,False,340,0,281
4552,45,1683,170,1468,16,False,339,0,281
4635,50,1687,172,1527,17,False,342,0,285
4706,53,1687,172,1579,18,False,340,0,282
4750,53,1687,172,1579,18,False,340,0,282
4771,54,1687,172,1579,19,False,339,0,281
4835,55,1687,172,1579,20,False,338,0,281
4936,66,1698,189,1635,21,False,347,0,291
5097,69,1698,197,1999,22,False,341,2,281
5179,69,1698,197,2051,23,False,340,2,281
5257,69,1698,197,2058,23,False,340,2,281
5268,69,1705,197,2105,24,False,338,2,281
5402,89,1723,200,2169,25,False,352,3,297
5484,93,1723,201,2227,26,False,353,3,288
5517,93,1723,201,2227,26,False,353,3,288
5614,94,1723,201,2482,27,False,348,3,287
6456,101,1836,201,4252,28,False,376,3,316
6613,108,1842,201,4309,29,False,386,3,322
6739,112,1842,209,4366,30,False,396,3,324
6912,113,1842,240,4526,31,False,395,3,314
7252,113,1843,240,5581,31,False,385,3,315
7316,113,1843,240,5650,32,False,384,3,315
7370,114,1843,240,5752,33,False,381,3,314
7440,114,1844,240,5752,34,False,380,3,313
7507,115,1844,240,5752,35,False,379,3,312
7629,123,1848,245,5832,36,False,386,3,320
7752,123,1848,245,5950,36,False,384,3,313
7766,123,1848,245,6013,37,False,383,3,313
8018,127,1848,384,6130,37,False,385,3,318
8268,127,1848,390,6130,37,False,385,3,318
8502,127,1848,431,6466,37,False,387,4,320
8818,144,1858,464,6576,38,False,414,4,348
8899,146,1858,464,6576,39,False,413,4,322
8977,148,1858,464,6576,40,False,412,4,322
9082,149,1858,464,6576,41,False,411,4,322
9161,154,1858,464,6576,42,False,411,4,323
9295,161,1862,464,6640,43,False,420,4,332
9458,165,1863,464,6825,44,False,418,4,326
9503,165,1863,464,6825,44,False,418,4,326
9573,165,1863,464,6978,45,False,415,4,326
9671,166,1863,464,7029,46,False,413,4,325
9752,167,1863,464,7029,47,False,412,4,324
9753,167,1863,464,7029,47,False,412,4,323
9836,168,1863,464,7029,48,False,411,4,322
9918,168,1864,464,7029,49,False,410,4,322
10020,177,1864,464,7082,50,False,412,4,325
10019,177,1864,464,7082,50,False,412,4,325
10113,178,1864,464,7133,51,False,411,4,324
11258,181,3415,467,7706,51,False,475,4,388
12504,181,4951,467,8121,51,False,539,4,452
12785,181,4951,467,8121,51,False,539,4,452
13005,181,4951,467,8121,51,False,539,4,452
14798,189,7419,467,8742,52,False,641,4,555
14930,190,7425,467,8743,53,False,640,4,555
15051,191,7431,467,8744,54,False,639,4,555
15168,193,7437,467,8745,55,False,638,4,555
15294,196,7443,472,8764,56,False,637,4,555
15412,196,7452,472,8766,57,False,636,4,555
15534,199,7452,474,8766,58,False,635,4,555
