ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
261,2,0,0,0,0,False,63,0,1
493,19,1,29,3,0,False,68,0,6
579,19,1,73,6,1,False,67,0,5
742,19,1,73,6,1,False,67,0,5
1007,19,1,73,6,1,False,67,0,5
1245,19,1,73,6,1,False,67,0,5
1496,19,1,73,6,1,False,67,0,5
1753,19,1,73,6,1,False,67,0,5
2004,19,1,73,6,1,False,67,0,5
2257,19,1,73,6,1,False,67,0,5
2508,19,1,73,6,1,False,67,0,5
2742,19,1,73,6,1,False,67,0,5
2992,19,1,73,6,1,False,67,0,5
3259,21,1,76,6,1,False,70,0,9
3342,21,1,83,51,2,False,70,0,9
3494,22,1,94,155,2,False,69,0,6
3747,22,1,94,155,2,False,69,0,6
4000,22,1,94,155,2,False,69,0,6
4251,22,1,94,155,2,False,69,0,6
4506,22,1,94,155,2,False,69,0,6
4760,22,1,94,155,2,False,69,0,6
4995,22,1,94,155,2,False,69,0,6
5245,22,1,94,155,2,False,69,0,6
5258,27,2,100,156,3,False,68,0,6
5274,32,6,100,163,4,False,67,0,6
5303,37,10,102,222,5,False,70,0,10
5325,40,10,102,274,6,False,68,0,7
5327,41,10,102,274,7,False,67,0,6
5328,42,10,102,274,8,False,66,0,6
5363,53,21,119,330,9,False,75,0,16
5486,56,21,139,682,10,False,69,2,6
5496,56,21,139,734,11,False,68,2,6
5497,56,21,139,734,11,False,68,2,6
5522,56,28,139,788,12,False,66,2,6
5579,76,46,142,852,13,False,80,3,22
5596,80,46,143,910,14,False,81,3,13
5644,81,46,143,1165,15,False,76,3,12
5747,81,66,143,1464,15,False,81,3,17
6251,81,140,143,2768,15,False,99,3,35
6633,88,195,143,3574,16,False,111,3,48
6691,95,201,143,3631,17,False,121,3,54
6752,99,201,151,3688,18,False,131,3,56
6760,99,201,151,3688,18,False,131,3,45
6869,100,201,182,3848,19,False,130,3,46
7001,100,202,182,4012,19,False,137,3,47
7203,100,202,189,4965,20,False,119,3,47
7220,101,202,189,5067,21,False,116,3,46
7229,101,203,189,5067,22,False,115,3,45
7241,102,203,189,5067,23,False,114,3,44
7252,103,203,189,5067,24,False,113,3,43
7260,103,203,189,5067,24,False,113,3,43
7272,103,203,189,5119,25,False,112,3,43
7283,103,209,189,5171,26,False,110,3,43
7304,103,209,189,5223,27,False,109,3,43
7337,103,229,189,5327,28,False,107,3,43
7352,103,242,189,5327,29,False,107,3,43
7364,103,244,189,5327,30,False,106,3,43
7418,111,248,194,5407,31,False,113,3,51
7489,111,248,194,5588,32,False,110,3,44
7510,111,248,194,5643,32,False,109,3,44
7745,115,248,344,5699,32,False,112,3,49
7995,115,248,360,5905,32,False,112,3,49
8246,115,248,390,6035,32,False,114,4,51
8511,115,248,390,6072,32,False,114,4,51
8746,115,248,392,6446,32,False,113,5,50
9089,132,258,427,6555,33,False,140,5,78
9245,132,258,434,6979,33,False,134,5,52
9261,132,258,437,7039,34,False,133,5,52
9618,134,258,440,7749,35,False,138,5,52
9637,136,258,440,7749,36,False,137,5,52
9653,137,258,440,7749,37,False,136,5,52
9680,142,258,440,7749,38,False,136,5,53
9779,149,262,440,7813,39,False,145,5,62
9873,153,263,440,7998,40,False,143,5,56
9916,153,263,440,8151,41,False,140,5,56
9943,154,263,440,8202,42,False,138,5,55
9960,155,263,440,8202,43,False,137,5,54
9978,156,263,440,8202,44,False,136,5,52
9996,156,263,440,8202,44,False,136,5,52
9997,156,264,440,8202,45,False,135,5,52
10051,165,264,440,8255,46,False,137,5,55
10080,166,264,440,8306,47,False,136,5,54
11246,169,1815,440,8854,47,False,200,5,118
12763,169,3351,440,9297,47,False,264,5,182
12997,169,3351,440,9297,47,False,264,5,182
14819,177,5202,440,9766,48,False,341,5,260
14871,178,5208,440,9767,49,False,340,5,260
14920,179,5214,440,9768,50,False,339,5,260
14969,181,5220,440,9769,51,False,338,5,260
15023,184,5226,445,9788,52,False,337,5,260
15073,184,5235,445,9790,53,False,336,5,260
15123,187,5235,447,9790,54,False,335,5,260
15171,193,5235,451,9790,55,False,334,5,260
15219,195,5235,451,9790,56,False,333,5,260
15879,199,5235,478,9972,57,False,382,5,311
15972,202,5235,478,10026,58,False,382,5,312
15999,202,5235,478,10026,58,False,382,5,312
16036,203,5235,478,10026,59,False,381,5,311
16148,208,5235,495,10079,60,False,384,5,315
16229,208,5236,496,10182,61,False,382,5,313
16253,208,5236,496,10182,61,False,382,5,313
16294,209,5236,496,10182,62,False,381,5,312
16361,209,5237,496,10182,63,False,380,5,311
16476,212,5241,500,10236,64,False,383,5,315
16499,212,5241,500,10236,64,False,383,5,312
16571,213,5241,500,10354,65,False,380,5,311
16660,213,5241,500,10406,66,False,379,5,311
16765,219,5241,500,10428,66,False,383,5,316
16774,219,5241,500,10463,67,False,382,5,315
16861,221,5241,500,10568,68,False,380,5,313
16922,222,5241,500,10568,69,False,379,5,312
16984,223,5241,500,10568,70,False,378,5,311
17136,227,5241,500,10656,71,False,385,5,319
17319,229,5241,531,10713,72,False,392,5,319
17579,234,5251,541,11033,73,False,391,5,314
17750,234,5251,541,11173,73,False,389,5,314
17768,234,5251,541,11236,74,False,388,5,314
18066,246,5258,544,11511,75,False,395,5,317
18142,247,5258,544,11563,76,False,394,5,312
18356,255,5258,554,11756,77,False,400,5,320
18428,255,5258,556,11811,78,False,399,5,312
18542,255,5260,556,11953,79,False,399,5,312
18654,255,5260,556,12004,80,False,397,6,312
18725,256,5260,556,12004,81,False,395,7,312
18751,256,5260,556,12004,81,False,395,7,312
18786,256,5261,556,12004,82,False,394,7,312
18844,256,5262,556,12004,83,False,393,7,312
18900,256,5263,556,12004,84,False,392,7,312
20251,274,5267,1195,13136,84,False,405,21,326
20520,276,5273,1350,13275,85,False,408,21,330
20695,281,5275,1350,13333,86,False,408,21,327
20902,284,5275,1355,13388,87,False,411,21,330
21085,289,5275,1367,13449,88,False,412,21,328
21307,297,5275,1380,13512,89,False,417,21,333
21494,303,5275,1399,13565,90,False,416,21,329
21736,309,5276,1495,13765,91,False,415,23,329
21920,313,5276,1495,13828,92,False,416,23,331
22253,320,5285,1495,13911,93,False,423,23,338
22164,320,5285,1495,13911,93,False,423,23,338
22738,328,5287,1495,14088,94,False,456,23,364
22941,335,5295,1495,14095,95,False,459,23,367
23019,335,5295,1495,14095,95,False,459,23,362
23095,335,5295,1495,14147,96,False,458,23,362
23269,339,5295,1495,14210,97,False,459,23,364
23411,339,5297,1495,14260,98,False,458,23,363
23504,339,5297,1495,14260,98,False,458,23,362
23555,339,5297,1495,14312,99,False,457,23,362
23734,343,5297,1495,14375,100,False,458,23,364
23903,352,5301,1495,14378,101,False,458,23,364
24004,352,5301,1495,14378,101,False,458,23,362
24049,352,5301,1495,14430,102,False,457,23,362
24225,356,5301,1495,14493,103,False,458,23,364
24254,356,5301,1495,14493,103,False,458,23,364
24381,365,5303,1495,14494,104,False,457,23,363
24526,365,5303,1495,14494,104,False,457,23,362
24556,365,5303,1495,14546,105,False,456,23,362
24744,369,5303,1495,14609,106,False,457,23,364
24758,369,5303,1495,14609,106,False,457,23,364
24910,369,5305,1495,14661,107,False,456,23,363
25148,373,5311,1495,14729,108,False,461,23,364
25350,373,5317,1495,14786,109,False,464,23,367
25494,382,5319,1495,14788,110,False,463,23,362
25506,382,5319,1495,14788,110,False,463,23,362
26256,392,5343,1495,15818,110,False,467,29,369
26277,392,5343,1495,15897,111,False,465,30,367
26522,399,5348,1514,15915,111,False,466,31,370
26535,399,5348,1514,15958,112,False,465,31,369
26711,399,5348,1514,16016,113,False,464,31,367
26756,399,5348,1514,16016,113,False,464,31,367
27006,399,5361,1514,16078,113,False,467,31,367
27116,406,5362,1514,16161,114,False,468,31,369
27342,407,5362,1514,16213,115,False,468,31,370
27491,408,5362,1514,16213,115,False,467,31,369
27491,408,5362,1514,16213,116,False,467,31,369
27680,412,5362,1514,16265,117,False,468,31,371
27757,412,5362,1514,16265,117,False,468,31,371
27844,413,5362,1514,16265,118,False,467,31,370
27997,414,5362,1514,16265,119,False,466,31,369
28199,419,5362,1514,16340,120,False,467,31,371
28258,419,5362,1514,16340,120,False,467,31,371
28365,420,5362,1514,16340,121,False,466,31,370
28508,420,5362,1514,16340,121,False,466,31,370
28515,421,5362,1514,16340,122,False,465,31,369
28707,426,5362,1514,16415,123,False,466,31,371
28758,426,5362,1514,16415,123,False,466,31,371
28870,427,5362,1514,16415,124,False,465,31,370
29023,428,5362,1514,16415,125,False,464,31,369
29020,428,5362,1514,16415,125,False,464,31,369
29172,436,5362,1514,16416,126,False,463,31,369
29337,440,5374,1514,16418,127,False,461,32,369
29483,441,5374,1514,16418,128,False,460,32,369
29657,446,5374,1514,16418,129,False,460,32,370
29758,446,5374,1514,16418,129,False,460,32,370
29814,447,5374,1514,16418,130,False,459,32,369
29967,449,5374,1514,16418,131,False,458,32,369
30126,451,5374,1514,16418,132,False,457,32,369
30274,453,5374,1514,16418,133,False,456,32,369
30473,460,5374,1519,16470,134,False,459,32,373
30691,461,5375,1525,16583,135,False,458,32,372
30759,461,5375,1525,16583,135,False,458,32,372
30993,462,5375,1525,16583,136,False,457,32,371
30895,462,5375,1525,16583,136,False,457,32,371
31048,462,5376,1525,16583,137,False,456,32,370
31192,463,5376,1525,16583,138,False,455,32,369
33631,466,6094,1555,17405,139,False,580,32,496
33745,466,6094,1555,17405,139,False,580,32,490
33822,466,6095,1555,17405,140,False,579,32,490
34011,466,6095,1555,17413,140,False,579,32,490
34261,466,6095,1557,17797,140,False,578,33,489
34496,466,6095,1557,18067,140,False,578,33,489
34761,466,6095,1559,18297,140,False,577,34,488
34996,466,6095,1560,18576,140,False,577,35,488
35246,466,6095,1560,18622,140,False,577,35,488
35346,466,6096,1560,18949,141,False,572,35,488
35762,466,6096,1560,19401,141,False,570,35,488
35907,466,6096,1560,19809,142,False,562,35,488
36072,466,6097,1560,20019,143,False,560,35,488
