ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
274,5,0,0,0,0,False,65,0,3
503,14,27,3,0,0,False,80,0,19
605,20,27,40,0,1,False,82,0,22
753,20,27,40,0,1,False,82,0,20
1003,20,27,40,0,1,False,82,0,20
1254,20,27,40,0,1,False,82,0,20
1504,20,27,40,0,1,False,82,0,20
1556,25,28,46,1,2,False,81,0,20
1575,30,32,46,8,3,False,80,0,20
1595,36,36,48,15,4,False,83,0,24
1648,36,36,65,50,5,False,82,0,20
1658,38,36,65,102,6,False,80,0,20
1660,40,36,65,102,7,False,79,0,20
1677,46,47,67,111,8,False,83,0,25
1713,53,47,82,158,9,False,86,1,24
1754,53,47,82,158,9,False,88,1,20
2004,53,47,82,158,9,False,88,1,20
2254,53,47,82,158,9,False,88,1,20
2454,55,47,82,158,10,False,89,1,20
2455,57,47,82,158,11,False,88,1,20
2456,58,47,82,158,12,False,87,1,20
2466,67,51,82,167,13,False,91,1,25
2496,69,51,89,215,14,False,96,1,26
2498,71,51,90,215,15,False,95,1,20
2505,71,51,90,259,15,False,95,1,20
2595,71,51,118,367,16,False,92,1,20
2624,73,53,118,575,17,False,88,1,21
2625,75,53,118,575,18,False,87,1,20
2626,77,53,118,575,19,False,86,1,20
3006,103,691,156,890,19,False,121,1,56
3512,111,1331,156,1114,20,False,152,1,88
3538,112,1337,156,1115,21,False,151,1,88
3559,113,1343,156,1116,22,False,150,1,88
3584,115,1349,156,1117,23,False,149,1,88
3612,118,1355,161,1136,24,False,148,1,88
3636,121,1364,163,1138,25,False,146,1,88
3662,127,1364,167,1138,26,False,145,1,88
3685,129,1364,167,1138,27,False,144,1,88
3819,133,1364,218,1220,28,False,162,1,108
3852,137,1364,218,1222,29,False,162,1,109
3893,143,1364,234,1274,30,False,162,1,110
3936,143,1364,235,1326,31,False,163,1,108
3967,143,1366,236,1326,32,False,162,1,108
4024,147,1370,240,1432,33,False,163,1,112
4060,147,1370,247,1477,34,False,162,1,108
4125,153,1370,266,1685,35,False,162,1,112
4156,155,1370,266,1686,36,False,161,1,108
4190,157,1370,266,1738,37,False,159,1,108
4255,161,1370,266,1861,37,False,166,1,117
4258,161,1370,266,1878,38,False,165,1,116
4341,163,1370,297,1935,39,False,172,1,116
4365,170,1370,299,1935,40,False,171,1,108
4474,179,1370,316,2067,41,False,177,1,116
4488,179,1371,318,2067,42,False,176,1,108
4505,179,1371,318,2108,42,False,176,1,108
4528,179,1374,318,2157,43,False,176,1,108
4608,195,1377,336,2382,44,False,171,3,111
4632,197,1380,342,2405,45,False,170,3,108
4736,203,1380,365,2502,46,False,174,3,113
4861,223,1390,461,2620,47,False,185,3,122
4960,238,1408,461,2719,48,False,204,3,134
4987,238,1408,461,2830,49,False,202,3,128
5025,242,1410,461,2884,50,False,203,3,130
5049,242,1410,461,2995,51,False,201,3,128
5073,255,1414,461,3002,52,False,203,3,131
5107,268,1416,461,3170,53,False,201,3,130
5170,274,1422,461,3342,54,False,204,3,134
5248,286,1430,468,3462,55,False,213,3,139
5256,286,1430,468,3462,55,False,213,3,135
5261,295,1432,468,3464,56,False,212,3,133
5474,303,1464,476,3885,57,False,209,5,137
5522,307,1465,476,4010,57,False,211,5,136
5555,307,1465,477,4180,58,False,208,7,133
5622,307,1470,477,4476,59,False,207,9,133
5652,311,1470,480,4539,60,False,206,10,133
5685,315,1470,480,4605,61,False,205,11,133
5701,317,1470,480,4605,62,False,205,11,134
5731,321,1470,480,4657,63,False,205,11,135
5745,323,1470,480,4657,64,False,204,11,133
5772,327,1470,480,4709,65,False,204,11,135
5789,330,1470,480,4732,66,False,203,11,133
5812,334,1470,480,4784,67,False,203,11,135
5832,337,1470,480,4807,68,False,202,11,133
5852,345,1470,480,4860,69,False,200,11,133
5870,349,1482,480,4862,70,False,198,12,133
5884,350,1482,480,4862,71,False,197,12,133
5899,354,1482,480,4862,72,False,197,12,134
5913,356,1482,480,4862,73,False,196,12,133
5925,358,1482,480,4862,74,False,195,12,133
5939,360,1482,480,4862,75,False,194,12,133
5953,362,1482,480,4862,76,False,193,12,133
6119,362,1606,480,4879,77,False,233,12,173
6148,364,1606,487,4879,78,False,233,12,169
6164,364,1608,488,4883,79,False,232,12,169
6284,366,1608,514,4938,80,False,237,12,171
6306,368,1608,520,4942,81,False,237,12,169
6408,374,1651,520,5060,82,False,249,12,185
6438,380,1651,520,5060,83,False,251,12,183
6454,382,1651,520,5060,84,False,250,12,180
6508,394,1667,520,5124,85,False,259,12,192
6554,398,1667,520,5179,86,False,265,12,190
6586,405,1671,525,5204,87,False,266,12,185
6623,407,1671,525,5259,88,False,271,12,189
6642,408,1671,525,5260,89,False,270,12,183
6671,408,1687,525,5269,90,False,274,12,188
6704,408,1697,525,5311,91,False,274,12,184
6776,414,1700,525,5373,92,False,289,12,199
7257,417,2549,525,5634,92,False,338,12,241
7479,418,2567,573,5739,93,False,355,14,261
7507,418,2572,574,5776,93,False,354,14,260
7631,418,2579,579,6018,94,False,354,15,260
7725,418,2579,579,6288,95,False,350,17,257
7842,436,2579,602,6410,96,False,357,17,264
7878,444,2590,623,6433,97,False,355,17,258
8007,444,2603,623,6794,97,True,357,19,258
8147,455,2603,627,6838,98,True,356,19,257
8189,455,2605,634,6846,99,True,355,19,196
8273,462,2609,634,6848,99,True,354,20,195
8507,462,2651,634,6848,99,True,348,26,189
8757,462,2696,634,6848,99,True,342,32,183
9007,462,2740,634,6848,99,True,336,38,177
9259,462,2787,634,6848,99,True,329,45,170
9507,462,2829,634,6848,99,True,323,51,164
9757,462,2870,634,6848,99,True,317,57,158
