ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
262,2,0,0,0,0,False,1,0,1
507,19,0,63,22,0,False,11,0,11
757,19,0,150,122,0,False,19,0,19
804,19,0,194,127,1,False,18,0,18
912,35,0,226,140,2,False,20,0,1
923,35,10,233,149,3,False,19,0,0
937,35,26,239,170,4,False,19,0,0
953,35,42,246,190,5,False,19,0,0
1000,35,58,250,238,6,False,21,0,0
1006,35,68,250,246,7,False,20,0,0
1007,35,68,251,246,7,False,20,0,0
1042,35,73,253,383,8,False,19,0,0
1199,35,100,278,591,9,False,26,0,0
1246,35,120,279,678,10,False,28,0,0
1257,35,121,280,716,10,False,28,0,0
1309,35,139,280,758,11,False,30,0,0
1444,35,158,281,1056,12,False,37,0,0
1507,35,162,282,1193,12,False,39,0,0
1566,35,162,282,1330,13,False,44,0,0
1680,35,165,285,1605,14,False,51,0,0
1757,35,168,286,1805,14,False,57,0,0
1790,35,168,286,1880,15,False,58,0,0
1919,35,178,287,2169,16,False,69,0,0
1995,35,191,288,2330,16,False,76,0,0
2061,35,191,288,2467,17,False,81,0,0
2075,35,191,294,2516,18,False,80,0,0
2224,35,204,295,2831,19,False,96,0,0
2247,35,204,295,2854,19,False,96,0,0
2442,35,376,298,3191,20,False,98,0,0
2495,35,438,298,3293,20,False,95,0,0
2745,35,672,298,3846,20,False,91,0,0
3008,35,750,300,4157,20,False,95,0,0
3261,35,750,300,4287,20,False,99,0,0
3447,35,766,301,4334,21,False,101,0,0
3492,35,792,301,4370,21,False,100,0,0
3743,35,828,301,4561,21,False,99,0,0
3993,35,912,301,4697,21,False,100,0,0
4243,35,984,301,4937,21,False,97,0,0
4493,35,1062,301,5163,21,False,97,0,0
4743,35,1120,301,5269,21,False,100,0,0
4998,35,1218,301,5441,21,False,98,0,0
5243,35,1302,301,5579,21,False,100,0,0
5744,35,1452,301,5944,21,False,100,0,0
5994,35,1546,301,6161,21,False,100,0,0
6244,35,1649,301,6319,21,False,100,0,0
6995,35,1926,301,7173,21,False,98,0,0
7245,35,2076,301,7558,21,False,95,0,0
7495,35,2155,301,7755,21,False,99,0,0
7745,35,2310,301,8003,21,False,96,0,0
7996,35,2466,301,8334,21,False,94,0,0
8245,35,2526,301,9027,21,True,90,0,0
8426,35,2603,303,9702,22,True,85,0,0
8495,35,2632,303,9958,22,True,84,0,0
8597,35,2677,305,10326,23,True,82,0,0
8639,50,2691,307,10417,24,True,80,0,0
8698,55,2744,307,10586,25,True,78,0,0
8746,55,2773,307,10818,25,True,77,0,0
8828,57,2799,307,11002,26,True,75,0,0
8996,57,2896,309,11562,26,True,72,0,0
9007,59,2916,309,11576,27,True,71,0,0
9062,59,2935,311,11774,28,True,70,0,0
9246,59,3018,311,12463,28,True,64,0,0
9496,59,3142,311,13418,28,True,57,0,0
9746,59,3283,311,14443,28,True,47,0,0
9996,59,3380,311,15333,28,True,39,0,0
