ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
265,2,0,0,0,0,False,1,0,1
511,19,0,63,22,0,False,11,0,11
761,19,0,194,127,0,False,18,0,18
778,19,0,194,127,1,False,18,0,18
996,34,85,257,362,1,False,28,0,9
1246,34,225,277,737,1,False,41,0,20
1511,34,225,278,862,1,False,45,0,20
1999,34,297,285,1127,1,False,51,0,26
2246,34,369,285,1273,1,False,56,0,32
2512,34,441,286,1524,1,False,61,0,38
2746,34,513,286,1752,1,False,68,0,44
3012,34,585,286,1902,1,False,75,0,50
3246,34,704,286,2096,1,False,84,0,61
3496,34,801,286,2280,1,False,91,0,68
3763,34,873,286,2509,1,False,99,0,74
3983,34,945,286,2700,2,False,104,0,80
3997,34,945,286,2700,2,False,104,0,80
4247,34,1017,286,2850,2,False,110,0,86
4763,34,1233,286,3450,2,False,127,0,104
5248,34,1449,286,4143,2,False,143,0,122
5764,34,1708,286,4655,2,False,166,0,145
6749,34,2025,286,5566,2,False,194,0,170
6999,34,2097,286,5714,2,False,200,0,176
7264,34,2184,286,5864,2,False,208,0,185
7514,34,2280,286,6026,2,False,214,0,193
7750,34,2313,286,6200,2,False,218,0,194
8003,34,2389,286,6401,2,True,224,0,201
8023,35,2389,286,6401,3,True,223,0,200
8041,35,2390,286,6401,4,True,222,0,0
8045,35,2391,286,6401,5,True,221,0,0
8047,35,2392,286,6401,6,True,220,0,0
8049,35,2393,286,6401,7,True,219,0,0
8127,35,2412,287,6597,8,True,218,0,0
8210,35,2431,288,6793,9,True,217,0,0
8269,35,2434,291,6942,9,True,217,0,0
8287,35,2450,291,6989,10,True,216,0,0
8358,35,2469,292,7185,11,True,215,0,0
8430,35,2495,293,7393,12,True,214,0,0
8500,35,2508,294,7572,12,True,214,0,0
8515,35,2524,296,7607,13,True,213,0,0
8528,35,2524,302,7652,14,True,212,0,0
8750,35,2859,303,8325,14,True,5,0,0
