ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
216,4,0,0,0,1,False,63,0,1
268,4,0,0,0,1,False,63,0,0
468,11,4,73,6,2,False,65,0,3
486,12,4,73,49,2,False,66,0,2
491,19,5,73,58,3,False,65,0,3
541,25,39,80,59,4,False,71,0,9
552,25,48,80,59,5,False,71,0,5
638,25,75,80,59,6,False,71,1,0
752,25,307,80,111,6,False,103,4,0
789,27,413,80,172,7,False,107,5,1
972,29,413,130,282,8,False,112,5,0
986,29,413,131,282,8,False,112,5,0
1042,29,415,133,286,9,False,114,5,0
1094,29,419,153,399,10,False,113,5,0
1226,29,423,153,718,11,False,108,5,0
1236,29,423,153,779,11,False,107,5,0
1258,31,425,153,844,12,False,106,5,1
1271,37,425,158,844,13,False,108,5,3
1279,37,425,158,896,14,False,107,5,2
1296,39,425,164,953,15,False,106,5,0
1502,39,773,164,1023,15,False,154,12,0
1736,39,1248,164,1083,15,False,210,20,0
1987,39,1713,164,1158,15,False,251,40,0
2240,44,2151,170,1262,16,False,300,46,0
2251,49,2155,170,1269,17,False,299,46,0
2253,49,2155,170,1269,17,False,299,46,0
2258,53,2159,170,1276,18,False,299,46,1
2262,57,2159,170,1276,19,False,299,46,1
2272,58,2159,170,1328,20,False,299,46,1
2282,59,2159,172,1380,21,False,298,46,0
2297,69,2174,174,1387,22,False,298,47,1
2336,72,2185,174,1547,23,False,298,48,1
2418,80,2195,197,1965,24,False,299,49,3
2423,83,2199,197,1965,25,False,299,49,2
2426,85,2200,197,1965,26,False,299,49,1
2428,87,2200,197,1965,27,False,298,49,0
2474,90,2208,197,2123,28,False,299,49,1
2487,90,2209,197,2182,28,False,300,49,0
2497,96,2213,197,2229,29,False,297,49,1
2508,98,2213,197,2281,30,False,297,49,1
2563,99,2213,201,2541,31,False,297,49,1
2573,102,2213,201,2541,32,False,297,49,1
2618,103,2221,201,2701,33,False,297,49,1
2737,103,2250,201,3120,33,False,298,49,0
2960,108,2304,201,3739,34,False,300,49,3
2964,114,2308,201,3739,35,False,299,49,0
2978,119,2324,201,3791,36,False,299,49,0
3003,119,2341,201,3902,36,False,299,49,0
3043,121,2351,202,4107,37,False,300,49,1
3120,121,2351,231,4261,38,False,300,49,0
3163,121,2351,233,4336,39,False,300,49,0
3211,123,2351,233,4546,40,False,300,49,0
3237,123,2351,238,4682,40,False,301,49,0
3398,125,2351,240,5343,41,False,299,49,0
3444,125,2353,240,5501,42,False,297,49,0
3454,133,2357,240,5508,43,False,299,49,3
3487,135,2357,313,5511,43,False,299,49,3
3546,140,2357,361,5530,44,False,300,49,4
3593,140,2357,388,5585,45,False,301,49,5
3753,140,2357,416,5655,45,False,307,49,9
3991,140,2357,418,5681,45,False,307,49,9
4200,154,2365,451,5721,46,False,307,49,10
4215,156,2371,451,5721,47,False,307,49,9
4282,159,2387,451,5921,48,False,307,49,10
4370,160,2387,451,6239,49,False,308,49,9
4419,162,2387,451,6404,50,False,307,49,9
4427,164,2387,451,6404,51,False,306,49,9
4434,165,2387,451,6404,52,False,305,49,9
4446,169,2387,451,6404,53,False,305,49,10
4475,177,2391,451,6411,54,False,307,49,12
4482,179,2391,451,6411,55,False,306,49,11
4488,179,2391,451,6411,55,False,306,49,11
4499,179,2391,451,6463,56,False,305,49,10
4529,182,2393,451,6517,57,False,306,49,11
4543,182,2393,451,6569,58,False,305,49,10
4646,184,2393,451,6805,59,False,305,49,9
4673,185,2393,451,6909,60,False,304,49,10
4693,187,2393,451,6961,61,False,304,49,10
4710,195,2393,451,6961,62,False,304,49,10
4728,197,2419,451,6968,63,False,304,49,10
4988,197,2843,454,7184,63,False,304,61,9
5238,197,3275,454,7311,63,False,304,77,9
5504,197,3815,454,7436,63,False,304,97,9
5754,197,4139,454,7534,63,False,304,109,9
5990,197,4439,454,7606,63,False,304,120,9
6241,197,4949,454,7717,63,False,304,139,9
6505,197,5431,454,7824,63,False,304,157,9
6739,197,5867,454,7925,63,False,304,173,9
6990,197,5867,454,7949,63,False,304,173,9
7239,197,5867,454,7949,63,False,304,173,9
7404,205,5867,454,7950,64,False,303,173,9
7412,206,5873,454,7951,65,False,302,173,9
7423,207,5879,454,7952,66,False,301,173,9
7431,209,5885,454,7953,67,False,300,173,9
7442,212,5891,459,7972,68,False,299,173,9
7450,215,5900,461,7974,69,False,297,173,9
7471,221,5900,465,7974,70,False,296,173,9
7479,223,5900,465,7974,71,False,295,173,9
7489,225,5900,465,7974,71,False,295,173,10
7499,225,5900,465,8026,72,False,295,173,10
7538,225,5900,482,8080,73,False,295,173,9
7638,227,5900,567,8169,74,False,297,174,9
7666,227,5902,569,8173,75,False,297,174,9
7684,227,5904,573,8175,76,False,297,174,9
7721,227,5906,577,8184,77,False,299,174,9
7753,227,5908,580,8191,78,False,301,174,9
7782,227,5912,582,8202,79,False,301,174,9
7795,229,5912,587,8247,80,False,300,174,9
7817,231,5912,587,8299,81,False,300,174,10
7831,233,5912,587,8301,82,False,299,174,9
7852,235,5912,587,8353,83,False,299,174,10
7882,239,5912,604,8353,84,False,301,174,12
7897,239,5912,604,8405,85,False,300,174,9
7909,239,5914,605,8405,86,False,299,174,9
7936,241,5916,605,8509,87,False,298,174,10
7981,242,5918,608,8570,88,False,300,174,12
7990,242,5918,608,8570,88,False,300,174,9
8005,243,5918,609,8681,89,False,297,174,9
8027,245,5918,609,8733,90,False,297,174,10
8046,249,5918,609,8735,91,False,297,174,10
8073,251,5918,609,8790,92,False,298,174,11
8081,253,5918,609,8791,93,False,297,174,9
8110,255,5918,609,8895,94,False,296,174,10
8132,257,5918,609,8950,95,False,296,174,10
8168,259,5918,609,9014,96,False,298,174,10
8256,259,5918,612,9152,96,False,300,174,9
8450,275,5918,631,9478,97,False,303,176,11
8505,275,5918,640,9567,97,False,305,176,11
8527,275,5918,640,9654,98,False,304,176,10
8715,284,5922,656,9948,99,False,307,176,14
8740,284,5922,661,9948,99,False,308,176,13
8767,286,5922,662,10000,100,False,307,177,14
8807,288,5922,668,10053,101,False,307,178,14
8862,290,5924,668,10144,102,False,309,178,16
8896,291,5924,668,10200,103,False,309,178,13
