ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
276,7,0,0,0,0,False,65,0,3
348,19,3,0,0,1,False,68,0,6
491,21,3,2,0,1,False,70,0,3
604,21,3,52,3,2,False,71,0,4
620,23,3,59,3,3,False,71,0,0
624,23,5,62,7,4,False,70,0,0
705,29,5,66,8,5,False,71,0,2
731,31,5,69,60,6,False,72,0,2
741,31,5,74,64,6,False,73,0,0
747,33,5,75,64,7,False,72,0,0
784,33,7,81,167,8,False,69,0,0
816,41,25,88,169,9,False,73,0,7
832,46,29,88,176,10,False,72,0,7
852,52,33,90,184,11,False,75,0,11
855,54,33,90,196,12,False,74,0,7
856,56,33,90,203,13,False,73,0,7
883,62,44,92,296,14,False,75,0,12
916,69,44,107,343,15,False,78,1,11
991,70,44,120,425,15,False,80,2,7
1027,76,54,127,567,16,False,81,2,12
1032,82,54,127,567,17,False,83,2,10
1033,84,54,127,567,18,False,82,2,7
1073,93,54,130,630,19,False,89,2,15
1119,99,65,131,638,20,False,97,2,16
1121,100,65,131,638,21,False,96,2,7
1184,110,97,131,659,22,False,114,2,16
1185,111,97,131,659,23,False,113,2,7
1219,115,97,131,714,24,False,119,2,14
1221,117,97,131,715,25,False,118,2,7
1241,118,97,138,756,25,False,118,2,8
1291,120,97,162,804,26,False,120,2,11
1328,127,101,171,830,27,False,129,2,21
1350,129,101,171,885,28,False,134,2,25
1353,130,101,171,886,29,False,133,2,19
1482,140,111,279,937,30,False,138,2,26
1507,147,111,312,942,30,False,139,2,23
1513,150,111,314,944,31,False,138,2,22
1539,155,111,314,952,32,False,149,2,34
1543,157,111,314,952,33,False,148,2,34
1545,158,111,314,952,34,False,147,2,34
1566,168,115,314,961,35,False,151,2,39
1569,170,115,314,961,36,False,150,2,35
1597,171,115,314,1016,37,False,155,2,40
1605,173,115,314,1017,38,False,154,2,34
1621,175,117,314,1061,39,False,154,2,35
1625,177,117,314,1061,40,False,153,2,34
1757,177,117,314,1398,40,False,147,2,34
1774,190,120,314,1412,41,False,148,2,37
1991,191,339,317,1569,41,False,159,2,46
2261,191,678,317,1702,41,False,176,2,63
2508,191,933,317,1807,41,False,188,2,75
2567,199,995,317,1830,42,False,190,2,78
2571,200,1001,317,1831,43,False,189,2,78
2575,201,1007,317,1832,44,False,188,2,78
2580,203,1013,317,1833,45,False,187,2,78
2591,206,1019,322,1852,46,False,186,2,78
2600,209,1028,324,1854,47,False,184,2,78
2609,215,1028,328,1854,48,False,183,2,78
2613,217,1028,328,1854,49,False,182,2,78
2740,221,1028,378,1937,50,False,200,2,98
2756,225,1028,378,1939,51,False,200,2,99
2758,225,1028,378,1939,51,False,200,2,99
2798,231,1028,394,1991,52,False,200,2,100
2821,231,1028,395,2044,53,False,201,2,98
2828,231,1030,396,2044,54,False,200,2,98
2886,235,1034,400,2149,55,False,201,2,102
2914,235,1034,401,2202,56,False,200,2,98
2996,241,1034,407,2421,57,False,200,2,102
3005,243,1034,407,2422,58,False,199,2,98
3008,243,1034,407,2422,58,False,199,2,98
3018,245,1034,407,2424,59,False,198,2,98
3102,249,1034,407,2614,60,False,203,2,106
3172,251,1034,438,2671,61,False,210,2,106
3200,258,1034,440,2671,62,False,209,2,98
3243,258,1034,450,2732,62,False,208,2,98
3329,267,1034,460,2804,63,False,215,2,106
3347,267,1035,461,2806,64,False,214,2,98
3493,277,1040,471,3106,64,False,210,4,101
3524,283,1041,479,3112,65,False,210,4,101
3552,286,1044,486,3135,66,False,209,4,99
3662,292,1044,522,3236,67,False,213,4,104
3762,303,1047,601,3273,67,False,218,4,107
3927,318,1063,602,3402,68,False,240,4,131
3971,322,1065,602,3461,69,False,241,4,127
3990,322,1065,602,3515,70,False,240,4,125
3993,322,1065,602,3515,70,False,240,4,125
4043,335,1069,602,3536,71,False,242,4,128
4109,348,1071,602,3591,72,False,243,4,127
4175,354,1077,602,3698,73,False,248,4,131
4233,361,1085,602,3768,74,False,253,4,132
4259,366,1089,602,3772,74,False,253,4,127
4563,382,1114,613,4097,75,False,259,6,138
4605,386,1114,613,4163,76,False,258,7,138
4620,388,1114,613,4165,77,False,258,7,139
4657,392,1114,613,4217,78,False,258,7,140
4670,394,1114,613,4217,79,False,257,7,138
4707,398,1114,613,4269,80,False,257,7,140
4733,401,1114,613,4292,81,False,256,7,138
4744,401,1114,613,4302,81,False,256,7,138
4768,405,1114,613,4344,82,False,256,7,140
4795,408,1114,613,4367,83,False,255,7,138
4836,416,1114,613,4420,84,False,253,7,138
4861,420,1126,613,4422,85,False,251,8,138
4871,421,1126,613,4422,86,False,250,8,138
4895,425,1126,613,4422,87,False,250,8,139
4908,427,1126,613,4422,88,False,249,8,138
4921,429,1126,613,4422,89,False,248,8,138
4936,431,1126,613,4422,90,False,247,8,138
4950,433,1126,613,4422,91,False,246,8,138
5019,433,1126,633,4425,91,False,249,8,138
5065,433,1128,640,4433,92,False,249,8,138
5141,433,1130,642,4566,93,False,248,8,138
5198,433,1132,644,4698,94,False,246,8,138
5244,433,1132,644,4709,94,False,249,8,138
5744,433,1313,680,4849,94,False,310,8,201
5851,433,1313,680,4900,95,False,309,8,200
5874,435,1313,682,4900,96,False,310,8,189
6012,435,1313,684,5365,96,False,302,8,189
6096,435,1328,684,5491,97,False,308,9,198
6248,435,1354,684,5624,97,False,324,9,177
6513,435,1557,684,5687,97,False,334,9,187
6745,435,1734,684,5740,97,False,343,9,196
7026,435,1758,684,5772,97,False,343,10,197
7245,435,1758,684,5772,97,False,343,10,197
7495,435,1758,684,5772,97,False,343,10,197
7682,442,1759,684,5817,98,False,343,10,197
7745,442,1759,686,5838,98,False,351,10,195
7960,449,1759,702,6259,99,False,347,13,192
8013,452,1770,710,6316,99,True,345,13,192
8287,452,1770,744,6652,99,True,344,14,191
8496,452,1770,744,6965,99,True,344,14,191
8780,452,1770,747,7198,99,True,343,15,190
8996,452,1770,782,7512,99,True,342,16,189
9301,452,1770,794,7802,99,True,342,16,189
9496,452,1770,794,8232,99,True,338,20,185
9596,463,1770,798,8305,100,True,337,20,184
9640,463,1770,832,8382,101,True,335,21,144
9749,465,1949,835,8550,101,True,308,47,113
9827,472,2200,848,8558,102,True,271,83,76
9887,472,2200,853,8727,103,True,269,84,75
9996,472,2214,854,9126,103,True,260,86,72
