ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
281,9,0,0,0,0,False,67,0,5
510,20,0,58,3,1,False,71,0,10
514,20,0,58,3,1,False,71,0,6
604,27,0,63,55,2,False,74,0,10
663,28,1,80,157,3,False,73,0,9
667,29,1,80,157,4,False,72,0,8
668,30,2,80,157,5,False,70,0,6
707,31,3,99,211,6,False,69,0,5
762,33,35,99,263,6,False,74,0,10
858,38,53,112,265,7,False,76,0,13
871,43,57,112,272,8,False,75,0,13
888,48,61,114,331,9,False,78,0,17
900,51,61,114,383,10,False,76,0,14
914,52,61,114,383,11,False,75,0,13
916,53,61,114,383,12,False,74,0,13
949,64,72,131,439,13,False,83,0,23
1012,64,72,150,531,13,False,86,0,15
1063,67,72,151,791,14,False,77,2,13
1108,87,82,154,855,15,False,92,2,29
1124,91,82,155,913,16,False,93,2,20
1189,92,82,155,1168,17,False,88,2,19
1218,99,97,155,1181,18,False,95,2,27
1247,106,103,155,1197,18,False,106,2,34
1254,106,103,155,1238,19,False,105,2,33
1284,110,103,163,1295,20,False,115,2,35
1381,119,107,187,1515,21,False,122,2,33
1446,119,107,199,1684,22,False,119,2,26
1513,132,117,282,1802,22,False,124,2,35
1584,142,117,317,1852,23,False,145,2,57
1589,144,117,317,1852,24,False,144,2,57
1594,145,117,317,1852,25,False,143,2,57
1600,150,117,317,1852,26,False,143,2,58
1634,157,121,317,1916,27,False,152,2,67
1741,162,122,317,2305,28,False,145,2,60
1746,163,122,317,2305,29,False,144,2,59
1747,163,122,317,2305,29,False,144,2,58
1763,164,122,317,2305,30,False,143,2,57
1783,173,123,317,2358,31,False,144,2,60
2012,177,522,320,2629,31,False,159,2,75
2759,185,1674,320,2983,32,False,206,2,123
2784,186,1680,320,2984,33,False,205,2,123
2807,187,1686,320,2985,34,False,204,2,123
2828,189,1692,320,2986,35,False,203,2,123
2855,192,1698,325,3005,36,False,202,2,123
2880,195,1707,327,3007,37,False,200,2,123
2902,201,1707,331,3007,38,False,199,2,123
2925,203,1707,331,3007,39,False,198,2,123
3057,207,1707,358,3122,40,False,220,2,147
3100,210,1707,358,3176,41,False,220,2,148
3131,211,1707,358,3176,42,False,219,2,147
3181,216,1707,375,3229,43,False,222,2,151
3229,217,1708,376,3332,44,False,219,2,148
3253,217,1708,376,3332,44,False,219,2,148
3260,217,1709,376,3332,45,False,218,2,147
3320,220,1713,380,3386,46,False,221,2,151
3374,221,1713,387,3497,47,False,218,2,147
3428,227,1713,387,3606,48,False,220,2,151
3482,230,1713,387,3711,49,False,217,2,148
3502,230,1713,387,3711,49,False,217,2,148
3511,231,1713,387,3711,50,False,216,2,147
3573,235,1713,387,3799,51,False,223,2,155
3648,237,1713,418,3856,52,False,230,2,155
3763,250,1718,439,4105,53,False,237,2,157
3764,250,1718,439,4105,53,False,237,2,150
3842,251,1720,441,4353,54,False,232,4,149
3860,251,1721,441,4353,55,False,231,4,149
3970,275,1727,484,4458,56,False,236,4,158
4080,291,1728,590,4587,57,False,238,5,158
4217,299,1736,590,4770,58,False,261,5,183
4264,303,1743,590,4838,59,False,266,5,189
4290,303,1745,590,4888,60,False,265,5,188
