ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
283,1,0,0,0,0,False,1,0,1
500,2,0,5,0,0,False,2,0,2
605,2,0,49,3,1,False,1,0,1
750,2,0,49,3,1,False,1,0,0
1001,2,0,49,3,1,False,1,0,0
1252,2,0,49,3,1,False,1,0,0
1500,2,0,49,3,1,False,1,0,0
1755,2,0,49,3,1,False,1,0,0
2009,2,0,49,3,1,False,1,0,0
2259,2,0,49,3,1,False,1,0,0
2509,2,0,49,3,1,False,1,0,0
2752,2,0,49,3,1,False,1,0,0
3004,2,0,49,3,1,False,1,0,0
3255,2,0,49,3,1,False,1,0,0
3391,3,0,51,55,2,False,1,0,1
3510,6,0,59,55,2,False,1,0,1
3575,6,0,71,119,3,False,5,0,5
3753,6,0,97,181,3,False,5,0,0
4012,6,0,97,181,3,False,5,0,0
4252,6,0,97,181,3,False,5,0,0
4515,6,0,97,181,3,False,5,0,0
4767,6,0,97,181,3,False,5,0,0
5001,6,0,97,181,3,False,5,0,0
5327,9,2,153,215,3,False,8,0,3
6007,19,142,206,2297,3,False,73,0,71
6261,19,169,219,3182,3,False,94,0,92
6462,19,198,226,3782,4,False,127,0,123
6777,19,198,226,5092,4,False,127,0,0
7004,19,226,226,5682,4,False,164,0,0
7255,19,226,234,6303,4,False,204,0,0
7503,19,226,242,6640,4,False,254,0,0
7759,19,226,242,6856,4,False,308,0,0
8012,19,250,242,7582,4,False,342,0,0
8264,19,256,267,7861,4,False,356,0,0
8515,19,259,274,8357,4,False,398,0,0
8752,19,280,274,9138,4,False,416,0,0
9005,19,304,274,10086,4,False,426,0,0
9260,19,307,274,10607,4,False,464,0,0
9502,19,307,274,10991,4,False,508,0,0
14292,35,2145,310,19617,5,False,1305,0,599
14767,35,2155,312,19625,6,False,1304,0,0
14762,35,2155,312,19625,6,False,1304,0,0
15081,35,2155,312,19625,6,False,1304,0,0
15791,35,2165,314,19635,7,False,1303,0,0
16015,35,2165,314,19635,7,False,1303,0,0
15262,35,2155,312,19625,6,False,1304,0,0
15523,35,2165,314,19635,7,False,1303,0,0
15415,35,2165,314,19635,7,False,1303,0,0
