ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
264,1,0,0,0,0,False,1,0,1
490,1,0,28,2,1,False,1,0,1
511,1,0,28,2,1,False,1,0,0
746,1,0,28,2,1,False,1,0,0
996,1,0,28,2,1,False,1,0,0
1246,1,0,28,2,1,False,1,0,0
1497,2,0,29,20,1,False,2,0,2
1502,2,0,29,32,2,False,1,0,1
1586,4,0,40,69,3,False,5,0,5
1747,4,0,54,104,3,False,5,0,0
1997,4,0,54,104,3,False,5,0,0
2248,4,0,57,106,3,False,5,0,0
2499,11,41,93,203,3,False,40,0,36
2748,13,79,111,657,3,False,64,0,62
3017,13,99,111,1255,3,False,74,0,72
3248,13,117,119,1731,3,False,102,0,100
3403,13,135,123,1961,4,False,127,0,123
3499,13,135,123,2235,4,False,127,0,0
4016,13,155,127,3171,4,False,190,0,0
4249,13,155,131,3423,4,False,230,0,0
4506,13,155,131,3527,4,False,282,0,0
5000,13,175,132,4079,4,False,354,0,0
8019,17,925,155,7538,4,True,842,0,360
8269,20,925,159,7540,4,True,842,0,360
8460,22,925,160,7540,5,True,841,0,359
8503,22,925,161,7541,5,True,841,0,0
8753,22,934,175,7722,6,True,840,0,0
8754,22,934,175,7722,6,True,840,0,0
8786,22,943,177,7733,7,True,839,0,0
8813,22,952,177,7746,8,True,838,0,0
8832,22,957,177,7752,9,True,837,0,0
8849,22,962,177,7758,10,True,836,0,0
8939,22,969,177,7870,11,True,835,0,0
9003,22,974,177,7894,11,True,835,0,0
9206,29,986,177,8035,12,True,834,0,0
9253,29,986,177,8081,12,True,834,0,0
9503,29,1007,178,8351,13,True,831,0,0
9503,29,1007,178,8351,13,True,831,0,0
9753,29,1092,178,8461,13,True,815,0,0
9972,31,1168,178,8550,14,True,801,0,0
