ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
255,1,0,0,0,0,False,1,0,0
485,13,0,34,11,0,False,11,0,11
735,13,0,107,64,0,False,19,0,19
761,13,0,107,64,1,False,18,0,18
871,22,0,124,72,2,False,20,0,1
879,22,5,129,78,3,False,19,0,0
890,22,14,134,90,4,False,19,0,0
907,22,28,141,111,5,False,18,0,0
921,22,29,146,136,6,False,17,0,0
925,22,33,146,141,7,False,16,0,0
969,22,42,147,225,8,False,16,0,0
986,22,43,150,251,8,False,16,0,0
1000,22,53,150,265,9,False,18,0,0
1129,22,126,152,407,10,False,16,0,0
1236,22,191,152,510,10,False,14,0,0
1415,22,285,153,767,11,False,9,0,0
1487,22,285,163,819,11,False,14,0,0
1533,22,294,163,873,12,False,16,0,0
1737,22,327,164,928,12,False,15,0,0
1991,22,327,165,1007,12,False,17,0,0
2020,22,336,165,1019,13,False,19,0,0
2241,22,369,165,1142,13,False,17,0,0
2488,22,453,165,1299,13,False,15,0,0
2738,22,495,165,1444,13,False,15,0,0
2994,22,537,165,1555,13,False,17,0,0
3240,22,604,165,1661,13,False,17,0,0
3489,22,668,165,1774,13,False,18,0,0
3739,22,709,165,1908,13,False,20,0,0
3989,22,789,165,2070,13,False,15,0,0
4239,22,863,165,2235,13,False,14,0,0
4490,22,915,165,2451,13,False,15,0,0
4740,22,999,165,2689,13,False,13,0,0
4990,22,1073,165,2873,13,False,16,0,0
5240,22,1167,165,3040,13,False,14,0,0
5490,22,1251,165,3237,13,False,15,0,0
5740,22,1335,165,3417,13,False,13,0,0
5990,22,1377,165,3571,13,False,14,0,0
6240,22,1400,165,3626,13,False,18,0,0
6490,22,1461,165,3735,13,False,15,0,0
6740,22,1503,165,3793,13,False,14,0,0
6991,22,1503,165,3793,13,False,14,0,0
7240,22,1525,165,3838,13,False,16,0,0
7491,22,1545,165,3933,13,False,16,0,0
7740,22,1610,165,4075,13,False,15,0,0
7991,22,1629,165,4113,13,False,13,0,0
8241,22,1683,165,4492,13,True,10,0,0
8242,22,1683,165,4492,14,True,9,0,0
8280,22,1694,165,4594,15,True,8,0,0
8323,22,1705,165,4696,16,True,7,0,0
8362,22,1716,166,4798,17,True,6,0,0
8400,22,1727,166,4900,18,True,5,0,0
8447,22,1743,166,5008,19,True,4,0,0
8490,22,1761,167,5119,20,True,3,0,0
8493,22,1761,167,5124,20,True,3,0,0
