ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
264,1,0,0,0,0,False,1,0,1
495,13,0,34,11,0,False,11,0,11
742,13,0,107,64,1,False,18,0,18
745,13,0,107,64,1,False,18,0,0
1011,21,76,155,259,1,False,34,0,14
1495,21,112,157,475,1,False,45,0,20
1766,21,112,157,476,1,False,45,0,20
2011,21,112,157,476,1,False,45,0,20
2245,21,131,161,516,1,False,49,0,24
2513,21,168,161,652,1,False,55,0,30
2746,21,220,161,813,1,False,61,0,38
3246,21,312,161,1066,1,False,79,0,54
3512,21,378,161,1196,1,False,89,0,65
3762,21,436,161,1367,1,False,97,0,74
3978,21,472,161,1478,2,False,104,0,80
3996,21,472,161,1491,2,False,104,0,80
4246,21,528,161,1593,2,False,114,0,90
4496,21,581,161,1803,2,False,121,0,98
4762,21,652,161,2051,2,False,132,0,110
4996,21,724,161,2284,2,False,143,0,122
5247,21,796,161,2449,2,False,156,0,134
5497,21,884,161,2615,2,False,170,0,149
5997,21,1012,161,3003,2,False,189,0,170
6247,21,1012,161,3060,2,False,193,0,170
6497,21,1048,161,3144,2,False,200,0,176
6747,21,1109,161,3254,2,False,209,0,187
6998,21,1120,161,3272,2,False,210,0,188
7247,21,1120,161,3272,2,False,210,0,188
7511,21,1156,161,3399,2,False,216,0,194
7748,21,1192,161,3522,2,False,222,0,200
7998,21,1228,161,3592,2,False,227,0,206
8072,22,1228,161,3593,3,True,228,0,205
8075,22,1229,161,3593,4,True,227,0,0
8077,22,1230,161,3593,5,True,226,0,0
8079,22,1231,161,3593,6,True,225,0,0
8081,22,1232,161,3593,7,True,224,0,0
8093,22,1232,165,3618,8,True,223,0,0
8264,22,1437,165,3738,8,True,57,0,0
8501,22,1523,165,4210,8,True,8,0,0
8571,22,1534,165,4408,9,True,6,0,0
8610,22,1545,165,4510,10,True,5,0,0
8649,22,1556,166,4612,11,True,4,0,0
8694,22,1567,166,4714,12,True,3,0,0
8736,22,1583,166,4822,13,True,2,0,0
8749,22,1592,166,4857,13,True,2,0,0
8779,22,1601,167,4933,14,True,1,0,0
