ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
244,2,0,0,0,1,False,63,0,1
303,2,0,0,0,1,False,63,0,0
524,2,0,0,0,1,False,63,0,0
756,2,0,0,0,1,False,63,0,0
1005,2,0,0,0,1,False,63,0,0
1253,2,0,0,0,1,False,63,0,0
1417,5,1,4,0,2,False,62,0,0
1436,8,4,4,4,3,False,61,0,0
1454,10,7,4,8,4,False,61,0,1
1463,12,7,4,8,5,False,61,0,1
1504,13,7,31,11,5,False,62,0,2
1513,13,7,31,11,6,False,61,0,1
1548,14,7,32,41,7,False,60,0,0
1603,19,16,33,45,8,False,60,1,1
1750,25,29,33,152,9,False,63,2,5
1754,26,31,33,152,10,False,63,2,4
1764,27,32,33,152,11,False,63,2,3
1770,27,32,33,152,11,False,63,2,2
1772,28,32,33,152,12,False,62,2,2
1798,30,37,33,243,13,False,63,2,3
1830,33,39,33,304,14,False,61,2,3
1840,34,39,33,334,15,False,61,2,3
1846,37,45,34,338,16,False,64,2,5
1848,40,47,34,338,17,False,63,2,2
1860,43,56,34,368,18,False,63,2,2
1933,44,72,35,550,19,False,64,2,3
1993,48,75,41,615,20,False,67,2,5
2004,49,75,45,615,20,False,67,2,5
2072,50,75,97,616,21,False,66,2,5
2074,51,75,97,616,22,False,65,2,5
2075,52,75,97,616,23,False,64,2,5
2077,54,75,97,616,24,False,64,2,6
2084,58,78,97,620,25,False,66,2,8
2086,59,78,97,620,26,False,65,2,7
2102,59,78,97,650,27,False,64,2,6
2115,61,79,97,681,28,False,65,2,7
2122,61,79,97,711,29,False,64,2,6
2180,61,79,109,774,30,False,64,2,5
2225,62,79,110,834,31,False,64,2,5
2251,64,79,115,919,32,False,63,2,6
2254,66,79,115,919,32,False,64,2,7
2256,69,79,115,919,33,False,63,2,6
2279,73,91,115,923,34,False,63,2,6
2504,81,143,136,947,34,False,63,5,6
2755,81,143,136,947,34,False,63,5,6
3001,81,145,136,951,34,False,63,5,6
3045,86,211,136,977,35,False,62,9,6
3048,87,215,136,978,36,False,61,9,6
3056,88,219,136,979,37,False,60,9,6
3058,89,223,136,980,38,False,59,9,6
3063,91,227,139,991,39,False,58,9,6
3067,93,233,140,993,40,False,56,9,6
3070,96,233,142,993,41,False,55,9,6
3072,97,233,142,993,42,False,54,9,6
3081,98,233,142,1023,43,False,54,9,7
3114,98,233,152,1053,44,False,54,9,6
3180,100,233,175,1100,45,False,54,9,6
3190,101,233,175,1130,46,False,54,9,7
3193,102,233,175,1131,47,False,53,9,6
3209,103,233,175,1161,48,False,53,9,7
3221,105,233,185,1161,49,False,55,9,9
3231,105,234,185,1191,50,False,53,9,6
3239,105,234,185,1221,51,False,52,9,6
3248,106,235,185,1251,52,False,52,9,7
3251,107,236,185,1252,52,False,52,9,7
3316,107,236,195,1278,53,False,54,9,9
3331,108,236,205,1332,54,False,51,9,6
3365,109,236,205,1362,55,False,51,9,7
3369,111,236,205,1363,56,False,51,9,7
3382,112,236,205,1395,57,False,52,9,8
3384,113,236,205,1395,58,False,51,9,6
3398,114,236,205,1455,59,False,50,9,7
3408,115,236,205,1487,60,False,50,9,7
3431,116,236,205,1522,61,False,52,9,7
3501,116,236,207,1606,61,False,55,9,6
3602,120,236,246,1707,62,False,56,10,9
3627,121,236,250,1737,63,False,56,11,9
3645,122,236,254,1768,64,False,56,12,9
3692,123,237,254,1819,65,False,58,12,11
3708,124,237,254,1850,66,False,58,12,8
3721,124,238,267,1855,67,False,57,12,8
3726,124,239,267,1856,68,False,56,12,8
3751,132,240,275,1883,68,False,56,12,10
3763,134,241,278,1902,69,False,57,12,11
3849,135,250,282,2030,70,False,54,13,9
3853,137,252,282,2031,71,False,54,13,8
3895,141,255,284,2126,72,False,55,13,10
3903,141,255,284,2156,73,False,54,13,9
3957,141,255,286,2199,74,False,54,13,8
4001,144,255,296,2260,74,False,55,13,10
4031,144,255,298,2290,75,False,56,13,11
4072,150,256,299,2324,76,False,57,13,12
4085,152,256,299,2360,77,False,57,13,11
4102,153,256,306,2392,78,False,57,13,11
4150,155,257,310,2428,79,False,59,13,11
4216,157,257,363,2483,80,False,59,14,12
4226,158,257,363,2513,81,False,59,14,12
4279,158,260,363,2582,81,False,59,16,11
4292,159,260,363,2618,82,False,60,16,12
4303,160,260,363,2648,83,False,60,16,12
4356,161,261,363,2756,84,False,61,16,12
4366,162,261,363,2786,85,False,61,16,12
4421,163,265,363,2927,86,False,62,16,12
4431,164,265,363,2957,87,False,62,16,12
4447,165,267,363,3021,88,False,61,16,12
4456,166,267,363,3051,89,False,61,16,12
4468,171,269,364,3082,90,False,60,16,11
4479,172,269,364,3118,91,False,60,16,12
4488,173,269,364,3148,92,False,60,16,12
4490,178,270,364,3149,93,False,59,16,11
4501,179,270,364,3159,93,False,60,16,13
4507,179,270,364,3185,94,False,59,16,12
4516,180,270,364,3215,95,False,59,16,12
4528,185,276,364,3247,96,False,59,16,11
4584,186,283,364,3350,97,False,61,16,12
4593,187,283,364,3380,98,False,61,16,12
4621,192,286,364,3412,99,False,61,16,11
4682,192,296,364,3584,100,False,62,16,11
4689,197,297,369,3587,101,False,62,16,11
4752,200,320,378,3704,101,False,64,16,14
4823,202,324,379,3839,102,False,67,16,18
4933,204,326,382,4186,103,False,65,20,18
4949,206,326,385,4222,104,False,64,21,18
5002,207,330,386,4292,104,False,62,24,16
5044,207,335,386,4421,105,False,64,25,18
5084,208,335,387,4488,106,False,63,25,11
5097,210,335,387,4518,107,False,63,25,12
5100,211,335,387,4518,108,False,62,25,11
5116,214,335,387,4561,109,False,62,25,12
5118,215,335,387,4561,110,False,61,25,11
5134,218,335,387,4604,111,False,61,25,12
5136,219,335,387,4604,112,False,60,25,11
5140,224,335,387,4605,113,False,59,25,11
