ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
257,4,0,0,0,0,False,66,0,4
486,7,121,0,0,0,False,128,0,66
736,7,198,0,0,0,False,167,0,105
987,8,213,30,2,0,False,178,0,113
1007,8,213,30,2,1,False,178,0,113
1105,9,213,33,2,2,False,178,0,113
1111,9,214,36,4,3,False,177,0,113
1237,9,214,46,30,3,False,176,0,113
1378,9,215,56,34,4,False,179,0,113
1481,9,216,65,131,5,False,177,0,113
1503,9,216,70,161,5,False,176,0,113
1529,12,216,72,191,6,False,176,0,115
1556,13,216,74,221,7,False,177,0,113
1572,14,216,77,223,8,False,177,0,113
1610,14,217,77,286,9,False,174,0,113
1661,19,222,77,286,10,False,176,0,115
1737,19,245,77,286,10,False,185,0,0
1987,19,313,77,286,10,False,215,0,0
2248,22,374,80,287,11,False,240,0,0
2261,25,377,80,291,12,False,239,0,0
2274,29,380,81,295,13,False,242,0,4
2297,30,380,81,355,14,False,239,0,0
2298,31,380,81,355,15,False,238,0,0
2312,35,388,82,360,16,False,242,0,5
2356,38,388,92,386,17,False,245,1,4
2497,42,403,97,661,18,False,241,3,5
2503,45,403,97,661,19,False,243,3,3
2505,46,403,97,661,20,False,242,3,0
2543,51,403,99,694,21,False,249,3,8
2743,53,432,99,715,21,False,285,3,36
3004,53,457,99,735,21,False,318,3,69
3068,59,472,99,741,22,False,330,3,82
3108,60,472,99,773,23,False,336,3,80
3111,61,472,99,774,24,False,335,3,73
3196,63,472,118,823,25,False,337,3,77
3235,63,472,120,853,26,False,344,3,84
3239,63,472,121,853,26,False,344,3,73
3245,64,472,121,854,27,False,345,3,73
3387,64,473,123,1012,28,False,349,3,73
3438,64,473,123,1055,29,False,348,3,73
3601,68,476,126,1378,30,False,339,3,75
3634,69,476,126,1410,31,False,344,3,73
3637,70,476,126,1410,32,False,343,3,73
3754,72,476,184,1435,32,False,344,3,75
3989,72,476,204,1440,32,False,347,3,78
4153,76,483,213,1481,33,False,351,3,83
4184,80,483,231,1486,34,False,351,3,79
4239,82,483,231,1497,34,False,365,3,93
4289,82,483,231,1533,35,False,372,3,100
4443,83,483,234,1775,36,False,365,3,78
4447,84,483,234,1775,37,False,364,3,78
4450,85,483,234,1775,38,False,363,3,78
4481,91,486,234,1780,39,False,367,3,83
4489,91,486,234,1781,39,False,368,3,78
4521,91,486,234,1812,40,False,372,3,78
4527,92,486,234,1812,41,False,371,3,78
4555,93,487,234,1861,42,False,370,3,79
4559,94,487,234,1861,43,False,369,3,78
4679,95,487,234,2036,44,False,362,3,78
4708,103,492,234,2040,45,False,364,3,80
4739,103,505,234,2049,45,False,365,3,80
4990,104,615,235,2125,45,False,374,3,89
5989,104,1105,235,2282,45,False,415,3,130
6240,104,1228,235,2312,45,False,426,3,141
6506,104,1263,235,2338,45,False,428,3,143
6740,104,1372,235,2365,45,False,438,3,153
6990,104,1489,235,2394,45,False,447,3,162
7090,109,1528,235,2405,46,False,450,3,166
7100,110,1532,235,2406,47,False,449,3,166
7108,111,1536,235,2407,48,False,448,3,166
7117,112,1540,235,2408,49,False,447,3,166
7135,114,1544,238,2419,50,False,446,3,166
7150,116,1550,239,2421,51,False,444,3,166
7160,119,1550,241,2421,52,False,443,3,166
7164,120,1550,241,2421,53,False,442,3,166
7240,121,1550,267,2427,53,False,449,3,166
7494,123,1550,270,2499,54,False,480,3,206
7541,125,1550,270,2500,55,False,480,3,207
7596,128,1550,279,2530,56,False,480,3,208
7636,128,1551,280,2561,57,False,480,3,206
7722,131,1553,282,2621,58,False,481,3,210
7740,131,1553,282,2638,58,False,481,3,206
7753,131,1553,282,2653,59,False,480,3,206
7865,134,1553,282,2782,60,False,480,3,210
7880,135,1553,282,2782,61,False,479,3,206
7912,136,1553,282,2817,62,False,477,3,206
8017,138,1553,282,2891,63,False,483,3,214
8119,139,1553,299,2923,64,False,490,3,206
8149,144,1553,300,2923,65,False,489,3,206
8241,144,1553,315,2982,65,False,488,3,206
8440,144,1558,339,3082,66,False,488,4,206
8647,149,1558,345,3213,67,False,494,4,214
8668,149,1559,345,3215,68,False,493,4,206
8741,149,1561,347,3268,68,False,493,4,206
8903,157,1562,355,3394,69,False,488,6,209
8937,159,1563,359,3409,70,False,487,6,206
9067,159,1569,362,3493,71,False,486,7,207
9140,160,1574,362,3544,72,False,488,7,210
9191,163,1575,362,3577,73,False,488,7,207
9241,165,1575,366,3598,73,False,492,7,211
9248,165,1575,366,3607,74,False,491,7,210
9320,168,1575,372,3642,75,False,492,7,208
9346,170,1575,373,3642,76,False,492,7,207
9741,200,1584,374,3680,76,False,499,7,214
9991,200,1605,374,3701,76,False,504,7,219
10249,203,1612,380,3757,77,False,515,7,231
10294,209,1612,391,3762,78,False,514,7,226
10331,209,1618,395,3772,79,False,513,7,226
10535,212,1618,451,3916,80,False,512,9,226
10710,219,1623,451,3975,81,False,521,9,236
10742,220,1627,451,3978,81,False,521,9,226
11009,227,1633,451,4036,81,False,548,9,255
11012,228,1633,451,4036,82,False,547,9,254
11068,228,1633,451,4101,83,False,545,9,248
11164,230,1635,451,4190,84,False,545,9,250
11259,233,1637,451,4253,84,False,546,9,252
11280,237,1637,451,4255,85,False,545,9,251
11402,244,1638,451,4350,86,False,543,9,250
11494,246,1640,451,4416,86,False,543,9,251
11552,246,1642,451,4455,87,False,546,9,254
11743,248,1651,451,4502,87,False,554,9,253
11788,248,1651,451,4538,88,False,555,9,254
11825,253,1652,451,4540,89,False,554,9,248
12014,253,1662,451,4689,89,False,554,9,248
12271,257,1686,452,4762,89,False,559,9,252
12369,257,1686,454,4857,90,False,559,10,252
12493,259,1686,454,4961,90,False,560,11,250
12566,259,1686,454,5041,91,False,558,12,248
12743,259,1688,454,5210,91,False,558,14,248
12796,261,1688,457,5252,92,False,556,15,248
12852,263,1688,457,5291,93,False,555,16,248
13009,263,1688,457,5312,93,False,568,16,261
13179,264,1688,457,5331,94,False,581,16,274
13246,266,1688,457,5362,95,False,581,16,275
13244,266,1688,457,5361,94,False,582,16,275
13265,267,1688,457,5362,96,False,580,16,274
13327,269,1688,457,5391,97,False,580,16,275
13366,271,1688,457,5405,98,False,579,16,274
13428,273,1688,457,5434,99,False,579,16,275
13463,275,1688,457,5448,100,False,578,16,274
13526,280,1688,457,5478,101,False,576,16,274
13574,282,1696,457,5480,102,False,574,17,274
13588,283,1696,457,5480,103,False,573,17,274
13624,285,1696,457,5480,104,False,573,17,275
13643,286,1696,457,5480,105,False,572,17,274
13660,287,1696,457,5480,106,False,571,17,274
13678,288,1696,457,5480,107,False,570,17,274
13698,289,1696,457,5480,108,False,569,17,274
13744,289,1696,457,5490,108,False,570,17,274
13753,289,1697,457,5490,109,False,569,17,274
14244,289,1720,457,5641,109,False,577,17,274
14494,289,1740,457,5641,109,False,586,17,274
14744,289,1762,457,5641,109,False,595,17,274
14994,289,1781,457,5641,109,False,604,17,274
15244,289,1803,457,5641,109,False,613,17,274
15495,289,1821,457,5641,109,False,621,17,274
15745,289,1841,457,5641,109,False,630,17,274
16245,289,1844,472,5793,109,False,634,18,276
16495,289,1851,472,5803,109,False,642,18,284
16745,289,1860,472,5809,109,False,655,18,297
16995,289,1864,472,5956,109,False,658,19,303
17247,289,1864,472,6171,109,False,657,19,303
17496,289,1864,472,6356,109,False,663,19,303
17645,290,1867,472,6515,110,False,654,19,303
17745,290,1873,472,6575,110,False,653,19,303
17995,290,1893,472,6611,110,False,650,19,303
18496,290,1965,472,6629,110,False,656,19,309
18746,290,2001,472,6638,110,False,659,19,312
19246,290,2072,472,6656,110,False,665,19,318
19496,290,2104,472,6664,110,False,668,19,321
19746,290,2137,472,6673,110,False,670,19,323
19996,290,2173,472,6682,110,False,673,19,326
20247,290,2188,472,6692,110,False,676,19,329
20497,290,2201,472,6706,110,False,678,19,331
20997,290,2216,472,6920,110,False,674,20,333
21382,291,2222,472,7057,111,False,682,21,333
21498,291,2224,472,7065,111,False,685,21,337
21748,291,2224,472,7083,111,False,697,21,349
21997,291,2224,472,7101,111,False,709,21,361
22248,291,2227,472,7154,111,False,715,21,367
22360,296,2229,472,7189,112,False,715,21,367
22499,296,2232,472,7270,112,False,714,22,367
22749,296,2236,472,7430,112,False,715,23,367
22999,296,2248,472,7549,112,False,715,23,367
23249,296,2264,472,7738,112,False,704,25,367
23415,296,2269,480,7869,113,False,698,25,367
23499,296,2269,480,7905,113,False,698,25,368
24250,296,2269,480,8185,113,True,716,26,387
24500,296,2269,481,8245,113,True,715,27,386
25000,296,2269,482,8488,113,True,714,28,385
25250,296,2269,483,8654,113,True,713,29,384
25500,296,2269,483,8730,113,True,713,29,384
25750,296,2269,484,8867,113,True,712,30,383
26000,296,2269,484,8942,113,True,712,30,383
26251,296,2269,489,9098,113,True,711,31,382
26501,296,2269,508,9129,113,True,711,31,382
26751,296,2269,514,9280,113,True,711,31,382
26985,296,2280,514,9375,113,True,710,32,381
27370,299,2311,514,9407,114,True,709,32,380
27501,299,2311,514,9494,114,True,708,33,361
27582,305,2311,517,9518,115,True,707,33,360
27753,305,2358,517,9543,115,True,700,40,207
27820,306,2358,517,9641,116,True,695,40,202
28001,306,2425,517,9641,116,True,682,53,94
28236,306,2510,517,9641,116,True,665,70,77
28502,306,2608,517,9641,116,True,646,89,58
28736,306,2696,517,9641,116,True,628,107,40
29002,306,2793,517,9641,116,True,609,126,21
29254,306,2875,517,9673,117,True,591,143,3
29284,306,2885,517,9673,118,True,589,144,1
29297,307,2885,517,9673,119,True,588,144,0
29306,308,2885,517,9673,120,True,587,144,0
29486,308,2891,517,9943,120,True,573,144,0
29737,308,2899,517,10351,120,True,551,144,0
29987,308,2909,517,10763,120,True,527,144,0
