ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
269,10,0,1,0,0,False,68,0,6
406,11,1,42,5,1,False,67,0,5
498,13,12,42,5,1,False,69,0,6
753,13,170,46,76,1,False,107,0,44
892,14,203,53,113,2,False,118,0,56
1015,14,203,70,115,2,False,122,0,52
1249,14,203,89,336,2,False,123,0,52
1309,15,203,89,468,3,False,120,0,52
1322,15,204,89,468,4,False,119,0,52
1328,15,206,89,468,5,False,117,0,52
1333,15,208,89,468,6,False,115,0,52
1363,18,209,92,498,7,False,117,0,56
1399,19,209,95,563,8,False,115,0,52
1405,20,210,95,563,9,False,113,0,52
1499,20,278,95,584,9,False,130,0,69
2003,20,585,95,674,9,False,207,0,146
2244,23,682,98,704,10,False,229,0,169
2276,26,685,98,708,11,False,228,0,169
2314,29,688,99,742,12,False,231,0,173
2341,30,688,99,772,13,False,229,0,169
2358,31,688,99,772,14,False,228,0,169
2377,32,688,99,772,15,False,227,0,169
2425,37,695,109,803,16,False,236,0,179
2500,37,695,114,983,16,False,234,0,172
2525,40,696,115,1012,17,False,230,2,169
2590,44,711,115,1108,18,False,233,3,177
2647,49,711,117,1139,19,False,240,3,179
2679,50,711,117,1169,20,False,241,3,173
3169,57,770,117,1353,21,False,311,3,248
3251,57,770,127,1429,21,False,309,3,232
3257,57,770,134,1440,22,False,308,3,232
3363,59,770,138,1530,23,False,316,3,243
3522,59,770,140,1846,23,False,318,3,232
3623,59,770,141,2124,24,False,309,3,232
3651,60,770,141,2184,25,False,306,3,232
3708,64,773,144,2230,26,False,313,3,240
3773,64,773,144,2297,26,False,311,3,233
4003,66,773,222,2400,26,False,312,3,238
4335,74,780,249,2536,27,False,339,3,266
4424,75,780,250,2739,28,False,334,3,239
4449,76,780,250,2739,29,False,333,3,239
4469,77,780,250,2739,30,False,332,3,239
4536,82,783,250,2776,31,False,342,3,250
4644,84,783,250,3000,32,False,335,3,240
4668,85,783,250,3000,33,False,334,3,239
4689,86,783,250,3000,34,False,333,3,239
4710,87,784,250,3000,35,False,331,3,239
4752,92,784,250,3030,36,False,333,3,241
4756,92,784,250,3030,36,False,333,3,241
5008,96,1028,251,3178,36,False,348,3,257
5754,96,1748,251,3356,36,False,396,3,305
6755,96,2708,251,3565,36,False,460,3,369
7005,96,2708,251,3565,36,False,460,3,369
7192,101,2708,251,3566,37,False,459,3,369
7222,102,2712,251,3567,38,False,458,3,369
7250,103,2716,251,3568,39,False,457,3,369
7279,104,2720,251,3569,40,False,456,3,369
7309,106,2724,254,3580,41,False,455,3,369
7338,108,2730,255,3582,42,False,453,3,369
7365,111,2730,257,3582,43,False,452,3,369
7392,112,2730,257,3582,44,False,451,3,369
7732,115,2730,272,3680,45,False,493,3,413
7791,116,2730,272,3711,46,False,493,3,414
7824,117,2730,272,3711,47,False,492,3,413
7884,119,2730,282,3741,48,False,495,3,417
7934,120,2730,282,3801,49,False,492,3,413
7967,120,2731,282,3801,50,False,491,3,413
8028,122,2733,284,3832,51,False,494,3,417
8076,123,2733,284,3900,52,False,491,3,413
8142,126,2733,284,3963,53,False,493,3,417
8190,127,2733,284,4023,54,False,490,3,413
8225,128,2733,284,4023,55,False,489,3,413
8308,130,2733,284,4072,56,False,496,3,421
8412,131,2733,301,4104,57,False,503,3,421
8760,134,2739,343,4397,57,False,500,4,416
8923,138,2740,349,4598,58,False,512,5,424
9021,138,2741,351,4716,58,False,510,6,417
9033,139,2741,351,4739,59,False,507,7,416
9070,139,2742,351,4739,60,False,506,7,416
9225,149,2750,366,4865,61,False,506,8,419
9287,150,2756,366,4898,62,False,506,8,420
9327,153,2757,366,4931,63,False,506,8,417
9375,155,2757,370,4961,64,False,509,8,420
9433,158,2757,376,4996,65,False,510,8,418
9555,172,2757,377,5035,66,False,515,8,422
9756,174,2778,379,5133,66,False,520,9,423
9903,174,2787,379,5257,67,False,518,10,424
10004,189,2788,379,5302,68,False,516,10,423
10006,189,2788,379,5302,68,False,516,10,417
10034,190,2791,379,5302,69,False,515,10,416
10115,191,2806,379,5318,70,False,515,10,417
10204,195,2821,379,5326,71,False,515,11,418
10256,195,2827,379,5335,71,False,515,11,417
10450,198,2827,385,5388,72,False,529,11,432
10490,201,2827,397,5418,73,False,528,11,428
10506,201,2827,397,5418,73,False,528,11,429
10526,204,2830,406,5456,74,False,526,11,428
10551,204,2833,408,5465,75,False,525,11,427
10684,207,2835,464,5585,76,False,526,13,427
10729,209,2835,464,5621,77,False,527,13,429
10842,214,2840,464,5666,78,False,534,13,436
11134,218,2848,464,5813,79,False,562,13,457
11191,223,2853,464,5817,80,False,565,13,460
11234,223,2853,464,5881,81,False,563,13,455
11257,223,2853,464,5896,81,False,563,13,455
11328,225,2853,464,6011,82,False,561,13,457
11359,225,2855,464,6039,83,False,560,13,456
11414,227,2855,464,6105,84,False,560,13,457
11444,232,2857,464,6107,85,False,560,13,457
11506,234,2857,464,6203,86,False,559,13,457
11506,234,2857,464,6203,86,False,559,13,457
11529,239,2858,464,6204,87,False,558,13,456
11583,241,2858,464,6270,88,False,558,13,457
11614,241,2859,464,6300,89,False,557,13,456
11802,246,2873,464,6443,90,False,564,13,455
11858,248,2877,464,6480,91,False,566,13,457
11912,248,2880,464,6513,92,False,569,13,460
11937,253,2881,464,6514,93,False,568,13,455
12241,257,2924,467,6990,94,False,566,14,459
12257,257,2924,467,6990,94,False,566,14,457
12507,259,2935,467,7405,94,False,568,18,458
12562,259,2935,467,7527,95,False,565,20,455
12672,261,2937,470,7738,96,False,563,23,455
12717,263,2937,470,7777,97,False,562,24,455
13410,264,2940,470,7989,98,False,607,26,502
13467,266,2940,470,8049,99,False,606,26,503
13494,267,2940,470,8049,100,False,605,26,502
13545,270,2940,470,8092,101,False,605,26,503
13570,271,2940,470,8092,102,False,604,26,502
13620,274,2940,470,8135,103,False,604,26,503
13647,275,2940,470,8135,104,False,603,26,502
13674,280,2940,470,8136,105,False,602,26,502
13703,282,2948,470,8138,106,False,600,27,502
13730,283,2948,470,8138,107,False,599,27,502
13767,285,2948,470,8138,108,False,599,27,503
13793,286,2948,470,8138,109,False,598,27,502
13819,287,2948,470,8138,110,False,597,27,502
13845,288,2948,470,8138,111,False,596,27,502
13870,289,2948,470,8138,112,False,595,27,502
16260,289,3452,485,8404,112,False,714,28,621
16512,289,3452,485,8558,112,False,710,28,621
16549,289,3453,485,8610,113,False,708,28,621
16890,289,3454,485,8893,114,False,715,28,621
17510,290,3477,485,9089,115,False,735,28,649
17496,290,3477,485,9089,115,False,735,28,649
17536,291,3477,485,9089,116,False,734,28,649
17587,292,3480,485,9149,117,False,730,28,649
18261,292,3694,486,9490,117,False,738,29,661
21262,293,4899,486,10299,117,False,826,35,744
22763,293,4986,486,10717,117,False,858,37,782
23764,293,5005,486,10903,117,False,884,39,810
24014,293,5017,486,10916,117,True,886,39,812
24248,293,5017,486,11009,117,True,886,39,812
24514,293,5017,487,11129,117,True,885,40,811
24764,293,5017,487,11210,117,True,885,40,811
24999,293,5017,488,11342,117,True,884,41,810
25500,293,5017,489,11551,117,True,883,42,809
25765,293,5017,489,11584,117,True,883,42,809
25999,293,5017,489,11714,117,True,883,42,809
26265,293,5017,512,11793,117,True,882,43,808
26500,293,5017,513,11848,117,True,882,43,808
26750,293,5017,519,11978,117,True,882,43,808
26991,299,5017,522,12056,118,True,880,44,806
27000,299,5017,522,12056,118,True,880,44,674
27265,301,5033,522,12056,118,True,872,52,613
27500,301,5048,522,12056,118,True,864,60,605
27750,301,5065,522,12056,118,True,856,68,597
28016,301,5083,522,12056,118,True,847,77,588
28266,301,5100,522,12056,118,True,838,86,579
28500,301,5116,522,12056,118,True,830,94,571
28751,301,5134,522,12056,118,True,821,103,562
29016,301,5156,522,12056,118,True,810,114,551
29251,301,5171,522,12056,118,True,803,121,544
29501,301,5185,522,12056,118,True,796,128,537
29766,301,5199,522,12056,118,True,788,135,529
30001,301,5212,522,12056,118,True,782,142,523
