ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
233,4,0,0,0,1,False,63,0,1
307,4,0,0,0,1,False,63,0,0
493,4,0,0,0,1,False,63,0,0
758,4,0,0,0,1,False,63,0,0
1009,4,0,0,0,1,False,63,0,0
1243,4,0,0,0,1,False,63,0,0
1509,4,0,0,0,1,False,63,0,0
1744,4,0,0,0,1,False,63,0,0
1994,4,0,0,0,1,False,63,0,0
2252,6,0,35,0,1,False,64,0,2
2274,6,0,49,3,2,False,63,0,1
2502,6,0,54,55,2,False,64,0,0
2752,6,0,54,55,2,False,64,0,0
3002,6,0,54,55,2,False,64,0,0
3252,6,0,54,55,2,False,64,0,0
3502,6,0,54,55,2,False,64,0,0
3638,11,1,60,56,3,False,63,0,0
3655,16,5,60,63,4,False,62,0,0
3671,20,9,60,70,5,False,62,0,1
3673,24,9,60,70,6,False,62,0,1
3681,25,9,60,122,7,False,62,0,1
3689,26,9,62,174,8,False,61,0,0
3736,36,24,64,181,9,False,61,1,1
3778,36,25,64,225,9,False,62,1,0
3780,36,25,64,233,10,False,61,1,0
3792,36,33,64,289,11,False,62,1,2
3800,39,35,64,341,12,False,61,2,1
3921,47,45,99,747,13,False,62,3,3
3926,50,49,99,747,14,False,62,3,2
3937,52,50,99,747,15,False,62,3,1
3958,54,50,99,747,16,False,61,3,0
3965,54,50,99,799,17,False,60,3,0
3974,54,57,99,853,18,False,61,3,0
3983,57,58,99,905,19,False,62,3,1
4003,61,61,99,1011,20,False,62,3,2
4003,61,61,99,1011,20,False,62,3,2
4004,61,63,99,1011,21,False,61,3,2
4005,63,63,99,1011,22,False,60,3,1
4013,65,63,99,1063,23,False,60,3,1
4076,66,63,110,1316,24,False,60,3,1
4080,69,63,110,1316,25,False,60,3,1
4124,70,71,110,1476,26,False,60,3,1
4130,70,76,110,1476,27,False,60,3,0
4172,70,82,110,1636,28,False,60,3,0
4179,70,87,110,1636,29,False,60,3,0
4215,70,93,110,1796,30,False,60,3,0
4222,70,98,110,1796,31,False,60,3,0
4264,70,100,110,1909,31,False,61,3,0
4278,70,104,110,1956,32,False,60,3,0
4283,70,109,110,1956,33,False,60,3,0
4323,70,115,110,2116,34,False,60,3,0
4332,70,120,110,2116,35,False,60,3,0
4377,70,126,110,2276,36,False,60,3,0
4386,70,131,110,2276,37,False,60,3,0
4430,70,137,110,2436,38,False,60,3,0
4443,70,142,110,2436,39,False,60,3,0
4490,70,148,110,2596,40,False,60,3,0
4500,70,153,110,2596,41,False,60,3,0
4506,70,153,110,2596,41,False,60,3,0
4549,70,159,110,2756,42,False,60,3,0
4555,70,164,110,2756,43,False,60,3,0
4606,70,170,110,2916,44,False,60,3,0
4617,70,175,110,2916,45,False,60,3,0
4633,75,187,110,2923,46,False,63,3,3
4639,81,191,110,2923,47,False,62,3,0
4650,81,197,110,2923,48,False,63,3,0
4662,86,207,110,2975,49,False,62,3,0
4672,86,207,110,3027,50,False,61,3,0
4689,86,211,110,3081,51,False,61,3,0
4696,86,223,110,3081,52,False,61,3,0
4708,86,224,110,3133,53,False,61,3,0
4728,86,231,110,3187,54,False,62,3,0
4752,88,234,111,3291,55,False,63,3,1
4753,88,234,111,3291,55,False,63,3,0
4826,88,234,140,3445,56,False,63,3,0
4865,88,234,142,3520,57,False,63,3,0
4920,90,234,142,3730,58,False,63,3,0
5004,90,234,147,4094,58,False,64,3,0
5077,92,234,156,4520,59,False,62,3,0
5133,92,236,156,4678,60,False,60,3,0
5147,100,240,156,4685,61,False,62,3,3
5262,107,240,277,4707,62,False,63,3,4
5315,107,240,304,4762,63,False,64,3,5
5514,107,240,338,4826,63,False,70,3,9
5756,107,240,340,4860,63,False,70,3,9
6005,107,240,340,4888,63,False,70,3,9
6131,121,248,396,5156,64,False,70,3,10
6152,123,254,396,5156,65,False,70,3,9
6180,123,255,396,5208,66,False,70,3,9
6222,123,262,396,5262,67,False,71,3,9
6251,126,270,396,5304,68,False,71,3,11
6257,126,270,396,5304,68,False,71,3,11
6273,126,270,396,5356,69,False,70,3,10
6361,127,270,396,5674,70,False,71,3,9
6540,129,270,399,6182,71,False,76,3,9
6554,131,270,399,6182,72,False,75,3,9
6572,132,270,399,6182,73,False,74,3,9
6594,136,270,399,6182,74,False,74,3,10
6630,144,274,399,6189,75,False,76,3,12
6646,146,274,399,6189,76,False,75,3,11
