ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
172,2,1,2,0,1,False,29,0,0
271,2,1,2,0,1,False,29,0,0
501,2,1,2,0,1,False,29,0,0
744,2,1,2,0,1,False,29,0,0
998,2,1,2,0,1,False,29,0,0
1249,7,1,2,0,1,False,29,0,1
1498,7,1,2,0,1,False,29,0,1
1749,7,1,2,0,1,False,29,0,1
1999,12,321,2,0,1,False,29,0,1
2249,14,816,2,0,1,False,29,0,1
2328,15,816,2,0,2,False,28,0,0
2499,15,1195,2,0,2,False,28,0,0
2750,17,1642,2,0,2,False,28,0,1
2879,20,1642,23,2,3,False,28,0,1
3000,27,1642,23,2,3,False,31,0,4
3250,28,1642,23,2,3,False,30,0,3
3500,28,1642,23,2,3,False,30,0,3
3754,28,1642,23,2,3,False,30,0,3
3914,28,1642,23,2,4,False,30,0,3
4000,29,1642,23,2,4,False,30,0,3
4251,30,1642,23,2,4,False,29,0,2
4501,30,1642,23,2,4,False,29,0,2
4680,30,1642,23,2,5,False,29,0,2
4751,30,1828,23,2,5,False,29,0,2
5001,30,2420,23,2,5,False,29,0,2
5036,35,2468,23,25,6,False,29,0,3
5040,43,2468,23,25,7,False,29,0,3
5044,44,2474,23,25,8,False,29,0,3
5046,44,2481,23,25,9,False,29,0,2
5049,44,2488,23,25,10,False,29,0,2
5052,44,2495,23,25,11,False,29,0,2
5055,44,2502,23,25,12,False,29,0,2
5058,44,2509,23,25,13,False,29,0,2
5062,44,2516,23,25,14,False,29,0,2
5065,44,2523,23,25,15,False,29,0,2
5069,44,2530,23,25,16,False,29,0,2
5077,44,2537,23,25,17,False,29,0,2
5083,44,2544,23,25,18,False,29,0,2
5087,44,2551,23,25,19,False,29,0,2
5091,44,2558,23,25,20,False,29,0,2
5096,44,2565,23,25,21,False,29,0,2
5100,44,2572,23,25,22,False,29,0,2
5105,44,2579,23,25,23,False,29,0,2
5110,44,2586,23,25,24,False,29,0,2
5115,44,2593,23,25,25,False,29,0,2
5120,44,2600,23,25,26,False,29,0,2
5125,44,2607,23,25,27,False,29,0,2
5131,44,2614,23,25,28,False,29,0,2
5136,44,2621,23,25,29,False,29,0,2
5142,44,2628,23,25,30,False,29,0,2
5148,44,2635,23,25,31,False,29,0,2
5154,44,2642,23,25,32,False,29,0,2
5160,44,2649,23,25,33,False,29,0,2
5167,44,2656,23,25,34,False,29,0,2
5173,44,2663,23,25,35,False,29,0,2
5180,44,2670,23,25,36,False,29,0,2
5186,44,2677,23,25,37,False,29,0,2
5214,46,2835,23,25,38,False,28,0,2
5252,47,2835,23,25,38,False,28,0,2
5501,48,2835,23,25,38,False,27,0,1
5751,48,2835,23,25,38,False,27,0,1
5987,48,2835,23,25,39,False,27,0,1
6001,52,2838,27,31,39,False,23,4,1
6010,52,2838,27,31,40,False,22,4,0
6016,55,2838,31,32,41,False,21,4,0
6060,61,2838,64,51,42,False,20,5,1
6142,73,2838,159,111,43,False,17,8,1
6179,75,2840,159,262,44,False,15,10,1
6229,85,2840,159,599,45,False,12,13,1
6277,100,2841,173,793,46,False,9,15,0
6288,102,2841,173,793,46,False,9,15,1
6303,102,2841,173,845,47,False,9,15,1
6328,107,2841,176,897,48,False,11,15,3
6339,108,2841,176,897,49,False,10,15,2
6353,108,2841,176,949,50,False,9,15,1
6386,108,2841,194,986,51,False,9,15,0
6400,109,2841,199,986,52,False,8,15,0
6409,111,2843,199,1038,53,False,8,15,1
6421,115,2849,199,1093,54,False,9,15,0
6436,115,2849,199,1200,55,False,8,15,0
6445,115,2854,199,1205,56,False,7,15,0
6458,117,2854,199,1257,57,False,7,15,1
6463,122,2854,199,1259,58,False,8,15,2
6474,127,2856,200,1312,59,False,9,15,3
6488,127,2857,203,1365,60,False,9,15,2
6497,127,2858,209,1367,61,False,9,15,1
6578,127,2859,243,1401,62,False,13,15,0
6619,127,2860,243,1446,63,False,13,15,0
6638,127,2861,243,1469,64,False,12,15,0
6656,127,2862,243,1493,65,False,11,15,0
6690,127,2863,243,1538,66,False,11,15,0
6706,127,2864,243,1561,67,False,10,15,0
6710,127,2865,243,1563,68,False,9,15,0
6725,127,2866,250,1610,69,False,7,15,0
6736,127,2872,250,1676,69,False,6,15,0
6736,127,2875,250,1676,70,False,5,15,0
6744,135,2875,274,1682,71,False,4,15,0
6747,137,2875,274,1682,72,False,3,15,0
6750,137,2877,274,1682,73,False,2,15,0
6759,140,2879,274,1734,74,False,2,15,1
6787,141,2885,274,1892,75,False,3,15,0
6818,141,2895,274,2054,76,False,4,15,0
6826,141,2897,274,2062,77,False,4,15,0
6878,141,2899,274,2130,78,False,8,15,0
6912,141,2901,274,2175,79,False,8,15,0
6948,141,2903,274,2272,80,False,6,15,0
6980,141,2905,274,2317,81,False,6,15,0
7005,141,2905,274,2387,81,False,6,15,0
7007,141,2907,274,2392,82,False,4,15,0
7017,141,2909,274,2446,83,False,2,15,0
7238,143,2909,274,2498,83,False,0,15,0
7502,143,2909,274,2498,83,False,0,15,0
7753,143,2909,274,2498,83,False,0,15,0
7788,143,2909,274,2498,84,False,0,15,0
