ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
267,2,0,0,0,0,False,1,0,1
512,2,0,49,3,0,False,1,0,1
514,2,0,49,3,1,False,1,0,1
763,2,0,49,3,1,False,1,0,0
1011,2,0,49,3,1,False,1,0,0
1259,2,0,49,3,1,False,1,0,0
1513,2,0,49,3,1,False,1,0,0
1725,3,0,51,55,2,False,1,0,1
1763,6,0,59,55,2,False,1,0,1
1824,6,0,71,119,3,False,5,0,5
2013,6,0,97,181,3,False,5,0,0
2264,6,0,97,181,3,False,5,0,0
2515,6,0,97,181,3,False,5,0,0
2766,6,0,143,212,3,False,5,0,0
3016,19,100,206,632,3,False,59,0,57
3252,19,124,206,1543,3,False,67,0,65
3507,19,148,206,2533,3,False,75,0,73
3878,19,198,226,3782,4,False,127,0,123
10946,35,2145,310,19617,5,False,1305,0,599
11359,35,2155,312,19625,6,False,1304,0,0
11515,35,2155,312,19625,6,False,1304,0,0
12028,35,2165,314,19635,7,False,1303,0,0
11716,35,2165,314,19635,7,False,1303,0,0
12138,35,2175,314,19645,8,False,1302,0,0
12250,35,2175,314,19645,8,False,1302,0,0
12761,35,2185,314,19657,9,False,1301,0,0
12516,35,2185,314,19657,9,False,1301,0,0
12500,35,2185,314,19657,9,False,1301,0,0
12926,35,2195,314,19667,10,False,1300,0,0
13395,35,2223,314,19722,11,False,1304,0,0
13509,35,2223,314,19722,11,False,1304,0,0
14012,35,2233,314,19732,12,False,1303,0,0
13783,35,2233,314,19732,12,False,1303,0,0
13757,35,2233,314,19732,12,False,1303,0,0
14181,35,2243,314,19744,13,False,1302,0,0
14264,35,2243,314,19744,13,False,1302,0,0
14773,35,2253,314,19754,14,False,1301,0,0
14529,35,2243,314,19744,13,False,1302,0,0
14563,35,2253,314,19754,14,False,1301,0,0
14978,35,2263,314,19766,15,False,1300,0,0
15022,35,2263,314,19766,15,False,1300,0,0
15512,35,2273,314,19776,16,False,1299,0,0
15258,35,2263,314,19766,15,False,1300,0,0
15773,35,2273,314,19776,16,False,1299,0,0
15400,35,2273,314,19776,16,False,1299,0,0
15808,35,2301,314,19831,17,False,1303,0,0
16007,35,2301,314,19831,17,False,1303,0,0
16508,35,2311,314,19841,18,False,1302,0,0
16164,35,2311,314,19841,18,False,1302,0,0
16275,35,2311,314,19841,18,False,1302,0,0
16757,35,2321,314,19853,19,False,1301,0,0
