ElapsedMillis,CoveringStepsInsideZone,NonCoveringStepsInsideZone,CoveringStepsOutsideZone,NonCoveringStepsOutsideZone,TestsCount,BranchesReleased,StatesCount,ErrorsCount,CoveringStatesCount
265,2,0,0,0,0,False,63,0,1
489,19,1,45,3,0,False,68,0,6
556,19,1,73,6,1,False,67,0,5
740,19,1,73,6,1,False,67,0,5
991,19,1,73,6,1,False,67,0,5
1243,19,1,73,6,1,False,67,0,5
1494,19,1,73,6,1,False,67,0,5
1755,19,1,73,6,1,False,67,0,5
1987,19,1,73,6,1,False,67,0,5
2238,19,1,73,6,1,False,67,0,5
2497,19,1,73,6,1,False,67,0,5
2740,19,1,73,6,1,False,67,0,5
2993,21,1,75,6,1,False,69,0,8
3080,21,1,83,51,2,False,70,0,9
3245,22,1,94,155,2,False,69,0,6
3495,22,1,94,155,2,False,69,0,6
3747,22,1,94,155,2,False,69,0,6
3997,22,1,94,155,2,False,69,0,6
4258,22,1,94,155,2,False,69,0,6
4490,22,1,94,155,2,False,69,0,6
4742,22,1,94,155,2,False,69,0,6
4825,27,2,100,156,3,False,68,0,6
4841,32,6,100,163,4,False,67,0,6
4868,37,10,102,222,5,False,70,0,10
4875,40,10,102,274,6,False,68,0,7
4877,41,10,102,274,7,False,67,0,6
4878,42,10,102,274,8,False,66,0,6
4908,53,21,119,330,9,False,75,0,16
4995,53,21,139,451,9,False,77,0,8
5030,56,21,139,682,10,False,69,2,6
5039,56,21,139,734,11,False,68,2,6
5052,56,28,139,788,12,False,66,2,6
5105,76,46,142,852,13,False,80,3,22
5119,80,46,143,910,14,False,81,3,13
5173,81,46,143,1165,15,False,76,3,12
5246,81,66,143,1332,15,False,83,3,19
5500,81,111,143,2131,15,False,93,3,29
5756,81,147,143,2910,15,False,99,3,35
5999,81,183,143,3466,15,False,108,3,44
6161,88,210,143,3738,16,False,117,3,54
6213,95,216,143,3795,17,False,127,3,60
6279,99,216,151,3852,18,False,137,3,62
6358,100,216,182,4012,19,False,136,3,52
6626,100,217,189,5129,20,False,125,3,53
6648,101,217,189,5231,21,False,122,3,52
6659,101,218,189,5231,22,False,121,3,51
6666,102,218,189,5231,23,False,120,3,50
6676,103,218,189,5231,24,False,119,3,49
6691,103,218,189,5283,25,False,118,3,49
6708,103,224,189,5335,26,False,116,3,49
6723,103,224,189,5387,27,False,115,3,49
6744,103,230,189,5439,27,False,115,3,49
6755,103,244,189,5491,28,False,113,3,49
6760,103,257,189,5491,29,False,113,3,49
6768,103,259,189,5491,30,False,112,3,49
6812,111,263,194,5571,31,False,119,3,57
6873,111,263,194,5752,32,False,116,3,50
7011,115,263,303,5860,32,False,115,3,52
7245,115,263,344,5863,32,False,118,3,55
7500,115,263,386,6190,32,False,120,4,57
7743,115,263,386,6209,32,False,120,4,57
7991,115,263,386,6419,32,False,120,4,57
8442,132,273,423,6727,33,False,146,5,84
8750,132,273,487,7571,33,False,139,6,58
9011,132,273,489,8220,33,False,144,6,58
9184,134,273,489,8619,34,False,143,7,58
9202,136,273,489,8619,35,False,142,7,58
9218,137,273,489,8619,36,False,141,7,58
9241,142,273,489,8619,37,False,141,7,59
9249,142,273,489,8619,37,False,141,7,59
9344,149,277,489,8683,38,False,150,7,68
9423,153,278,489,8868,39,False,148,7,62
9467,153,278,489,9021,40,False,145,7,62
9490,154,278,489,9072,41,False,143,7,61
9494,154,278,489,9072,41,False,143,7,61
9510,155,278,489,9072,42,False,142,7,60
9527,156,278,489,9072,43,False,141,7,58
9544,156,279,489,9072,44,False,140,7,58
9591,165,279,489,9125,45,False,142,7,61
9617,166,279,489,9176,46,False,141,7,60
10741,169,1830,489,9752,46,False,205,7,124
11990,169,3366,489,10167,46,False,269,7,188
12244,169,3366,489,10167,46,False,269,7,188
14364,177,5913,489,10810,47,False,375,7,295
14411,178,5919,489,10811,48,False,374,7,295
14459,179,5925,489,10812,49,False,373,7,295
14510,181,5931,489,10813,50,False,372,7,295
14563,184,5937,494,10832,51,False,371,7,295
14613,184,5946,494,10834,52,False,370,7,295
14662,187,5946,496,10834,53,False,369,7,295
